# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Additions to the input catalog -- galaxies reprocessed by Tom Jarrett. Corresponds to right half of Table A2 in paper.
#
#ID               RAdeg      DECdeg     l         b       k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  flgs
06455279-1812389 101.46997 -18.21080 228.67111  -9.38115  9.032  9.181  9.756  8.690  8.843  9.387 0.028 0.023 0.020 0.050 0.038 0.030 0.383 1.734 2.022 0.860 Z111
07213034+5545413 110.37643  55.76148 161.39471  26.26168 10.483 10.785 11.463 10.004 10.176 10.846 0.034 0.030 0.026 0.049 0.039 0.032 0.076 1.459 1.767 0.960 Z111
08173216-4537115 124.38400 -45.61986 262.10666  -5.59602 10.460 10.633 11.235 10.132 10.597 11.047 0.038 0.030 0.030 0.061 0.058 0.051 0.806 1.418 1.758 0.580 0111
08533275+5118489 133.38644  51.31358 167.32585  39.67995  7.587  7.860  8.517  7.426  7.700  8.347 0.016 0.016 0.016 0.029 0.026 0.022 0.023 1.884 2.235 0.840 Z111
09102015+0702160 137.58397   7.03777 223.26611  33.98764  7.134  7.402  8.027  7.043  7.324  7.914 0.017 0.016 0.016 0.025 0.020 0.019 0.043 1.973 2.207 0.750 Z000
09134319+7628311 138.42996  76.47530 136.25487  34.36168  8.813  9.093  9.821  8.714  8.970  9.709 0.018 0.017 0.016 0.026 0.024 0.021 0.027 1.761 2.048 0.390 Z000
09135049-6938420 138.46037 -69.64500 285.96088 -14.31768  7.886  8.133  8.912  7.765  8.048  8.849 0.018 0.016 0.017 0.025 0.021 0.022 0.096 1.870 2.116 0.610 Z111
09334613+1009086 143.44221  10.15239 223.17715  40.56326  8.910  9.161  9.868  8.619  8.875  9.576 0.023 0.019 0.018 0.039 0.028 0.026 0.031 1.682 1.978 0.860 Z111
09423523+5851044 145.64680  58.85121 155.18993  44.66462  8.010  8.282  8.933  7.906  8.215  8.809 0.016 0.016 0.015 0.022 0.020 0.017 0.017 1.759 2.066 0.650 Z111
09462113+0304163 146.58806   3.07120 233.24164  39.69827 10.131 10.463 11.203 10.045 10.339 11.102 0.026 0.021 0.021 0.044 0.031 0.032 0.049 1.542 1.840 0.360 Z000
10031914+6844014 150.82976  68.73373 141.89977  41.66017  7.476  7.684  8.274  7.280  7.479  8.065 0.018 0.017 0.016 0.032 0.025 0.021 0.067 2.004 2.306 0.781 Z111
10393190+0506268 159.88292   5.10745 242.03400  51.64986 10.784 11.184 11.840 10.723 11.033 11.670 0.032 0.025 0.024 0.055 0.038 0.035 0.026 1.243 1.556 0.850 Z111
11074851-4631339 166.95212 -46.52607 284.98401  12.70277  8.322  8.540  9.180  8.205  8.420  9.060 0.021 0.018 0.018 0.027 0.022 0.021 0.137 2.011 2.154 0.341 Z111
11095773-3732216 167.49054 -37.53934 281.57867  21.08892  7.279  7.535  8.177  7.150  7.416  8.037 0.017 0.016 0.016 0.025 0.021 0.019 0.101 1.933 2.200 0.790 Z111
11251289-2644128 171.30370 -26.73688 280.09442  32.28271  8.674  8.914  9.583  8.485  8.729  9.343 0.022 0.020 0.018 0.035 0.031 0.024 0.056 1.881 2.130 0.470 Z111
11460646-5623280 176.52693 -56.39111 293.93774   5.33553  8.284  8.489  9.118  8.175  8.367  8.995 0.020 0.017 0.018 0.030 0.022 0.023 0.386 1.841 2.065 0.610 Z111
11564415+3201178 179.18398  32.02161 187.28090  77.15199  9.066  9.367 10.133  8.989  9.281 10.041 0.017 0.016 0.016 0.022 0.019 0.018 0.030 1.789 2.044 0.240 Z000
12200682+2916498 185.02841  29.28050 193.78526  82.77279  7.258  7.486  8.157  7.142  7.361  8.033 0.016 0.016 0.015 0.023 0.021 0.019 0.029 1.873 2.190 0.930 Z111
12223204+2953432 185.63350  29.89532 187.68895  83.07563  7.627  7.874  8.548  7.445  7.710  8.374 0.017 0.017 0.016 0.024 0.022 0.019 0.025 1.949 2.211 0.680 Z111
12284331+1145177 187.18044  11.75492 282.70389  73.72791  9.158  9.329 10.043  9.061  9.194  9.922 0.021 0.018 0.017 0.033 0.024 0.022 0.030 1.766 2.021 0.280 Z000
12300227+1338112 187.50945  13.63645 281.54553  75.61197  7.353  7.603  8.227  7.216  7.475  8.072 0.017 0.017 0.016 0.025 0.023 0.019 0.032 1.914 2.172 0.960 Z111
12425243+1315260 190.71846  13.25723 294.29593  75.98508  8.843  9.037  9.715  8.737  8.902  9.578 0.020 0.018 0.017 0.032 0.026 0.021 0.026 1.657 1.940 0.780 Z000
12461003+3043556 191.54179  30.73210 140.36250  86.21634 10.417 10.774 11.604  9.973 10.296 11.172 0.023 0.023 0.021 0.042 0.039 0.035 0.016 1.588 2.022 0.300 Z111
12500736+7252281 192.53069  72.87448 123.06713  44.25357  8.160  8.426  9.097  8.017  8.303  8.958 0.018 0.017 0.016 0.027 0.023 0.021 0.020 1.752 2.019 0.890 Z111
12524409+1550542 193.18372  15.84840 304.52600  78.71604 10.391 10.611 11.318 10.017 10.173 10.920 0.029 0.027 0.022 0.045 0.040 0.030 0.026 1.747 2.060 0.260 0000
12543570-1234070 193.64874 -12.56861 304.13779  50.29570  8.230  8.489  9.212  8.058  8.324  9.036 0.019 0.017 0.016 0.032 0.023 0.022 0.053 1.806 2.097 0.700 0111
12543658-1233288 193.65240 -12.55801 304.14371  50.30623  8.873  9.097  9.772  8.624  8.855  9.523 0.022 0.018 0.017 0.035 0.024 0.023 0.053 1.654 1.930 0.940 0111
13054892-0801135 196.45383  -8.02041 309.09583  54.67913  7.633  7.849  8.495  7.589  7.786  8.420 0.016 0.015 0.015 0.020 0.017 0.016 0.047 1.851 2.105 0.420 Z000
13355382-3417447 203.97424 -34.29575 313.29236  27.67999  9.690 10.208 10.965  9.619 10.139 10.909 0.018 0.017 0.017 0.023 0.020 0.020 0.060 1.344 1.654 0.540 Z111
13395603-3138247 204.98344 -31.64018 314.86038  30.10578  8.480  8.687  9.242  8.229  8.449  9.007 0.021 0.017 0.017 0.042 0.028 0.024 0.056 1.893 2.211 0.520 Z111
13462465+4606266 206.60271  46.10739  96.70063  68.12091  9.088  9.333 10.070  8.939  9.172  9.881 0.021 0.018 0.017 0.034 0.026 0.023 0.017 1.940 2.211 0.220 Z111
13595082+3810568 209.96175  38.18245  74.85636  71.89946  9.255  9.687 10.594  9.116  9.488 10.373 0.018 0.017 0.017 0.028 0.024 0.023 0.009 1.719 2.061 0.360 Z000
14052208-4149056 211.34201 -41.81821 317.39902  18.96732 10.399 10.658 11.280 10.239 10.487 11.067 0.031 0.024 0.021 0.059 0.040 0.033 0.067 1.592 1.932 0.340 0111
14080314-3318542 212.01311 -33.31506 320.83408  26.87935  8.490  8.734  9.396  8.391  8.604  9.229 0.019 0.017 0.016 0.027 0.021 0.019 0.072 1.911 2.122 0.340 Z111
14511789+5858398 222.82455  58.97773  98.21031  52.01091  9.301  9.653 10.442  9.206  9.546 10.319 0.017 0.017 0.016 0.023 0.021 0.020 0.011 1.787 2.068 0.220 Z111
14513085-5231421 222.87852 -52.52836 320.75711   6.13771 10.024 10.289 10.949  9.757 10.005 10.658 0.030 0.029 0.028 0.042 0.040 0.038 0.647 1.461 1.708 0.720 0111
15062929+0136193 226.62206   1.60537   0.42558  48.79644  7.082  7.307  8.005  6.929  7.156  7.839 0.018 0.016 0.016 0.026 0.018 0.018 0.056 1.967 2.200 0.970 Z111
15091611-1119186 227.31714 -11.32182 348.52670  39.05279  8.707  8.923  9.587  8.539  8.738  9.396 0.022 0.018 0.017 0.037 0.024 0.024 0.108 1.866 2.129 0.490 Z111
15140165+8156194 228.50685  81.93871 117.30321  33.56614 11.666 12.062 12.763 11.580 11.956 12.640 0.034 0.031 0.027 0.053 0.047 0.039 0.045 1.130 1.430 0.600 0111
15140832+8156194 228.53468  81.93872 117.29955  33.56371 11.494 11.863 12.622 11.362 11.772 12.443 0.031 0.027 0.025 0.048 0.043 0.036 0.045 1.215 1.558 0.420 0111
15355385+3840311 233.97437  38.67531  62.22112  53.94143 11.357 11.711 12.408 11.253 11.529 12.314 0.030 0.025 0.023 0.051 0.040 0.037 0.017 1.283 1.656 0.420 0111
15395739+5804458 234.98912  58.07939  91.33475  47.39389  8.669  8.929  9.656  8.491  8.725  9.436 0.019 0.017 0.016 0.032 0.023 0.022 0.016 1.856 2.162 0.410 Z111
15532320+1157323 238.34666  11.95897  22.50908  44.82041 10.573 10.831 11.575 10.346 10.602 11.349 0.036 0.028 0.026 0.065 0.049 0.043 0.043 1.471 1.803 0.630 Z111
16060405+5525312 241.51688  55.42533  85.76031  45.15923 10.758 11.056 11.742 10.505 10.803 11.559 0.031 0.026 0.023 0.048 0.038 0.033 0.009 1.573 1.877 0.260 Z000
16295807+4037430 247.49197  40.62862  64.42873  43.46270  9.847 10.171 10.920  9.607  9.861 10.668 0.025 0.022 0.020 0.039 0.032 0.028 0.008 1.474 1.757 0.940 Z111
16561214-2902290 254.05060 -29.04138 353.76071   8.83566 11.399 11.834 12.470 11.279 11.786 12.409 0.062 0.063 0.057 0.105 0.113 0.101 0.219 1.241 1.519 1.000 0111
16564489-6224112 254.18703 -62.40311 327.47501 -11.90503 10.510 10.732 11.363  9.962 10.274 10.929 0.038 0.028 0.025 0.066 0.050 0.044 0.135 1.431 1.814 1.000 Z111
17054356-2524367 256.43149 -25.41019 357.98749   9.33055 10.444 10.668 11.327 10.127 10.290 10.905 0.038 0.033 0.032 0.051 0.043 0.040 0.395 1.464 1.708 0.600 0111
17290966-6226447 262.29025 -62.44574 329.57779 -15.04731  9.013  9.245  9.946  8.761  8.985  9.714 0.022 0.020 0.018 0.036 0.030 0.027 0.084 1.818 2.097 0.500 Z111
17413903-0437191 265.41263  -4.62198  20.59406  13.25158 10.970 11.223 11.972 10.714 10.943 11.717 0.052 0.045 0.044 0.080 0.066 0.066 0.717 1.422 1.707 0.500 0111
18125540+6821479 273.23083  68.36332  98.47181  28.60353 10.049 10.365 11.095  9.924 10.149 10.787 0.022 0.018 0.018 0.039 0.026 0.023 0.047 1.512 1.877 0.400 Z111
20250669-2448339 306.27789 -24.80943  18.85007 -30.82409  8.484  8.793  9.432  8.279  8.630  9.257 0.019 0.017 0.016 0.034 0.030 0.024 0.063 1.830 2.154 0.620 Z111
20374767+5138013 309.44861  51.63369  88.98336   6.33091 10.428 10.714 11.397 10.240 10.524 11.171 0.038 0.039 0.038 0.063 0.065 0.061 0.908 1.631 1.930 0.240 Z111
22024158-5117477 330.67325 -51.29659 343.91867 -50.19194  8.966  9.189  9.596  8.579  8.782  9.093 0.030 0.025 0.019 0.052 0.041 0.026 0.025 1.885 2.162 0.560 Z111
22075242+3121329 331.96841  31.35915  86.50644 -19.70728  6.910  7.153  7.843  6.818  7.060  7.746 0.016 0.015 0.015 0.020 0.017 0.016 0.088 1.948 2.176 0.946 Z111
23005996+3008412 345.24982  30.14478  96.21786 -26.93592  8.356  8.582  9.219  8.160  8.366  8.993 0.020 0.017 0.016 0.036 0.025 0.022 0.053 1.884 2.191 0.550 Z111
