# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Entries in original input catalogs that have been flagged but not rejected -- galaxies with suspect photometry due to stars. Targeted for reprocessing at a later date. Corresponds to Table A3 in paper.
#
#ID               RAdeg      DECdeg     l         b       k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt  e_bv  r_iso r_ext  b/a  flgs
09581167-2934465 149.54767 -29.57683 263.59445  19.76150 11.505 11.832 12.347 11.230 11.690 12.347 0.110 0.077 0.052 0.100 0.090 0.035 0.093 1.504 1.747 0.560 0000
09592884-6443590 149.86395 -64.73097 285.85162  -7.72878 11.739 12.185 12.604 11.738 12.184 12.558 0.150 0.119 0.082 0.167 0.180 0.107 0.229 1.519 1.664 0.260 0222
10000582-3133101 150.02428 -31.55287 265.27026  18.51433  8.828  9.012  9.795  8.653  8.852  9.624 0.040 0.029 0.026 0.040 0.029 0.026 0.069 1.945 2.120 0.560 0666
10100562-0828389 152.52654  -8.47964 249.50526  37.14031 10.097 10.349 11.963 10.096 10.349 11.794 0.055 0.033 0.051 0.073 0.017 0.057 0.053 1.462 1.614 9.999 0004
10153100+1402281 153.87709  14.04083 224.77310  51.42576 11.592 11.900 12.670 11.452 11.820 12.559 0.060 0.055 0.038 0.060 0.061 0.044 0.052 1.480 1.671 0.220 0000
10190493+4627121 154.77063  46.45506 169.82321  54.39890 11.272 11.550 12.202 11.149 11.383 12.067 0.051 0.047 0.029 0.047 0.047 0.033 0.011 1.236 1.457 0.720 0000
10300616+3828108 157.52670  38.46889 182.83835  58.44306 11.335 11.692 12.444 11.186 11.578 12.341 0.068 0.055 0.040 0.060 0.058 0.046 0.015 1.405 1.597 0.320 0000
10411138-7321568 160.29704 -73.36858 293.84003 -12.83718 11.591 11.920 12.497 11.591 11.920 12.497 0.122 0.090 0.067 0.166 0.058 0.101 0.178 1.663 1.805 0.320 0114
11205670+1938024 170.23305  19.63183 227.97693  67.96550 10.828 11.155 11.867 10.828 11.153 11.781 0.040 0.032 0.023 0.092 0.032 0.024 0.023 1.571 1.712 0.220 0000
11273340+3603361 171.89084  36.06083 181.09016  70.08885 10.810 11.163 11.885 10.719 11.089 11.794 0.035 0.027 0.020 0.040 0.029 0.024 0.026 1.436 1.622 0.280 0000
11282405+0924279 172.10017   9.40772 251.13219  63.57904  9.345  9.605 10.314  9.306  9.546 10.241 0.026 0.015 0.014 0.025 0.015 0.015 0.032 1.738 1.895 0.300 0666
11405425+5612080 175.22606  56.20223 141.63116  58.29148 11.585 11.749 12.389 11.005 11.314 11.871 0.082 0.049 0.036 0.072 0.054 0.039 0.013 1.468 1.791 0.660 0222
11595027+3936067 179.96167  39.60250 160.34712  73.55455 11.593 11.891 12.603 11.495 11.748 12.482 0.057 0.045 0.030 0.056 0.048 0.037 0.023 1.274 1.486 0.440 0000
12170789+0340563 184.28816   3.68306 282.18115  65.16266 11.178 11.502 12.037 11.178 11.502 12.037 0.095 0.076 0.044 0.049 0.045 0.027 0.018 1.815 1.815 0.420 0020
12384092-4212510 189.66891 -42.21478 300.40924  20.59505 11.235 11.503 12.170 11.235 11.503 12.170 0.100 0.062 0.050 0.053 0.037 0.032 0.122 1.681 1.681 0.300 0111
13000424-1521450 195.02116 -15.36514 306.01056  47.45757 11.413 11.739 12.316 11.413 11.739 12.316 0.100 0.060 0.046 0.055 0.037 0.030 0.060 1.624 1.624 0.200 0000
13065923-5713382 196.74854 -57.22469 305.04510   5.58083  9.898 10.181 10.876  9.752 10.081 10.875 0.044 0.043 0.037 0.043 0.042 0.266 0.383 1.452 1.685 0.520 0333
13095078-2414307 197.46625 -24.23911 308.29135  38.43821 11.724 11.899 12.642 11.724 11.899 12.612 0.096 0.067 0.048 0.056 0.043 0.063 0.129 1.583 1.773 0.200 0111
13182685-1545599 199.61079 -15.76959 312.41226  46.60713 11.665 11.945 12.616 11.540 11.864 12.515 0.086 0.046 0.039 0.084 0.052 0.047 0.074 1.427 1.616 0.340 0000
13230160-3546264 200.75349 -35.77597 310.09726  26.65776 11.290 11.586 12.194 10.743 10.958 11.499 0.090 0.053 0.043 0.108 0.067 0.055 0.062 1.405 1.818 0.560 0222
13242754-3025548 201.12009 -30.43148 311.31720  31.90159 11.403 11.930 12.569 10.886 11.624 12.131 0.098 0.071 0.060 0.084 0.095 0.069 0.072 1.575 1.882 0.480 0244
13272845-3810353 201.87305 -38.17764 310.68530  24.15221 11.593 11.842 12.528 11.593 11.842 12.528 0.133 0.098 0.071 0.076 0.062 0.048 0.077 1.671 1.671 0.220 0000
13444917+3710028 206.20209  37.16306  77.96242  74.91435 11.382 11.695 12.437 11.382 11.695 12.437 0.054 0.035 0.027 0.057 0.054 0.018 0.008 1.589 1.735 0.180 0222
13480654-3032046 207.02721 -30.53477 317.13474  30.76923 11.107 11.432 12.032 10.934 11.284 11.913 0.068 0.059 0.037 0.058 0.060 0.041 0.062 1.344 1.572 0.440 0222
14301541-3414156 217.56537 -34.23592 325.21436  24.32254 11.619 11.839 12.454 11.202 11.837 11.912 0.122 0.065 0.052 0.119 0.177 0.053 0.086 1.484 1.803 0.340 0000
14421797+2530333 220.57495  25.50931  35.51851  65.15469 11.649 11.859 12.602 11.557 11.659 12.397 0.054 0.034 0.027 0.055 0.041 0.037 0.031 1.130 1.381 0.720 0111
15131756-1807557 228.32191 -18.13663 344.12775  33.15989 11.580 11.724 12.331 11.580 11.724 12.331 0.096 0.060 0.045 0.055 0.037 0.030 0.100 1.622 1.622 0.380 0000
15364534-7125352 234.18575 -71.42375 315.38263 -12.67141 11.393 11.628 12.334 11.393 11.628 12.334 0.120 0.065 0.060 0.065 0.040 0.039 0.094 1.630 1.630 0.400 0111
15412906-8138012 235.36575 -81.62595 308.97079 -20.83488 11.301 11.564 12.468 11.301 11.564 12.468 0.130 0.083 0.086 0.070 0.050 0.059 0.276 1.563 1.563 0.320 0111
15442739+4107190 236.11508  41.12064  65.92479  52.01527 10.801 11.082 11.754 10.603 10.883 11.630 0.045 0.037 0.026 0.040 0.040 0.030 0.020 1.377 1.606 0.940 0133
15562915-3654078 239.11891 -36.89964 339.23334  12.60566 11.575 11.903 12.614 11.193 11.903 12.614 0.080 0.074 0.064 0.084 0.049 0.046 0.459 1.519 1.861 0.220 0111
16015046+1759516 240.46158  17.99566  31.50966  45.36821 11.618 12.024 12.786 11.607 12.014 12.780 0.064 0.046 0.035 0.108 0.152 0.259 0.049 1.384 1.582 0.200 0000
16102310-6244381 242.59883 -62.74588 323.60522  -8.15978 11.557 12.061 12.875 11.555 12.061 12.873 0.098 0.097 0.097 0.209 0.214 0.267 0.175 1.464 1.617 0.300 0222
16312081+2011077 247.83917  20.18500  37.50520  39.54895 10.764 11.095 11.783 10.617 10.990 11.641 0.060 0.042 0.029 0.050 0.043 0.030 0.063 1.645 1.815 0.200 0000
16415358-2342061 250.47372 -23.69968 355.99249  14.66660 11.620 11.822 12.411 11.610 11.822 12.411 0.071 0.052 0.043 0.174 0.036 0.031 0.855 1.228 1.425 0.460 0000
16495269+5532308 252.47166  55.54306  83.96024  39.10320 10.895 11.156 11.813 10.751 11.011 11.692 0.053 0.035 0.026 0.045 0.037 0.027 0.018 1.449 1.632 0.420 0000
16503125+4148421 252.62991  41.81025  66.18279  39.64042 11.598 12.013 12.806 11.490 11.986 12.725 0.062 0.047 0.037 0.063 0.064 0.049 0.022 1.435 1.633 0.260 0111
17230761-1849383 260.77945 -18.82854   5.80070   9.75672 10.383 10.615 11.254 10.383 10.614 11.254 0.066 0.055 0.055 0.250 0.188 0.243 0.674 1.507 1.654 0.340 0222
17291562+1609275 262.31668  16.16222  38.89632  25.26975 11.332 11.655 12.386 11.332 11.655 12.386 0.083 0.048 0.038 0.045 0.029 0.025 0.120 1.561 1.562 0.180 0044
17320849-1740132 263.03537 -17.67020   7.95751   8.57929 10.005 10.229 10.909  9.840 10.083 10.748 0.060 0.062 0.059 0.057 0.060 0.064 0.378 1.382 1.617 0.860 0111
17360511-6153378 264.02509 -61.89847 330.48969 -15.47560 10.175 10.430 11.122 10.175 10.429 11.122 0.043 0.035 0.026 0.046 0.039 0.015 0.064 1.537 1.681 0.520 0111
18022485+2602250 270.60291  26.04333  52.01453  21.71110 10.487 10.797 11.479 10.398 10.562 11.326 0.034 0.029 0.021 0.040 0.025 0.023 0.102 1.600 1.822 0.280 0333
18145602+1901499 273.73288  19.03453  46.30105  16.38740 11.523 11.791 12.601 11.522 11.789 12.601 0.067 0.052 0.045 0.109 0.099 0.031 0.137 1.490 1.648 0.220 0111
18164944-5713361 274.20590 -57.23053 337.19955 -18.11431  9.693  9.915 11.944  9.693  9.915 11.944 0.037 0.029 0.062 0.039 0.030 0.039 0.117 1.679 1.807 0.280 0111
18494179-2058461 282.42426 -20.97948  13.91063  -9.02953 10.797 10.805 11.590 10.336 10.420 11.590 0.167 0.102 0.099 0.109 0.077 0.120 0.322 1.763 1.913 0.280 0111
18522403+7311312 283.10095  73.19436 104.19576  25.81232 11.709 12.151 12.859 11.709 12.032 12.663 0.079 0.058 0.046 0.166 0.068 0.051 0.078 1.569 1.734 0.120 0000
19000443+4054228 285.01843  40.90628  71.19967  15.85788 11.236 11.433 12.220 10.799 10.843 12.017 0.064 0.037 0.031 0.078 0.044 0.058 0.136 1.241 1.656 0.820 0222
19151617-5407569 288.81738 -54.13249 342.97256 -25.06475  8.124  8.429  9.154  8.124  8.429  9.096 0.015 0.012 0.011 0.008 0.006 0.011 0.061 1.927 2.066 0.260 0666
19433447-5839207 295.89349 -58.65571 338.57999 -29.59360  7.679  7.988  8.793  7.657  7.946  8.753 0.009 0.007 0.007 0.009 0.008 0.009 0.064 1.911 2.050 0.500 0666
19544001-1241168 298.66788 -12.68734  28.40626 -19.67400 11.540 11.781 12.289 11.111 11.460 11.928 0.110 0.077 0.056 0.081 0.069 0.052 0.151 1.356 1.542 0.820 0222
20033440-4817042 300.89322 -48.28451 350.89786 -31.58154  8.809  9.025  9.704  8.752  8.970  9.650 0.020 0.014 0.011 0.019 0.014 0.011 0.047 1.629 1.793 0.700 0666
20475270+1757034 311.97076  17.95079  63.21359 -15.74516 11.726 11.984 12.631 11.633 11.858 12.494 0.069 0.036 0.032 0.070 0.039 0.041 0.112 1.253 1.470 0.300 0333
21550553-5039198 328.77304 -50.65557 345.47577 -49.28109 10.763 10.911 11.484 10.763 10.911 11.484 0.096 0.050 0.036 0.048 0.027 0.021 0.033 1.727 1.727 0.300 0222
22165396+4030083 334.21899  40.50461  93.71493 -13.44234  9.057  9.322  9.988  9.057  9.322  9.988 0.025 0.019 0.016 0.013 0.030 0.040 0.168 1.794 1.911 0.360 0331
22431991+3400052 340.82666  33.99917  94.68104 -21.74841 11.444 12.732 12.365 11.444 12.732 12.365 0.086 0.076 0.036 0.090 0.058 0.049 0.080 1.587 1.723 0.420 0222
22484680-3705272 342.19284 -37.09100   4.10892 -62.33155 11.584 11.875 12.619 11.406 11.754 12.517 0.065 0.042 0.034 0.070 0.047 0.042 0.022 1.326 1.560 0.300 0000
22513480+5000316 342.89276  50.00743 103.99806  -8.40480 11.301 11.598 12.372 11.194 11.387 12.176 0.052 0.044 0.037 0.050 0.044 0.040 0.233 1.210 1.439 0.480 0111
22591210+1336053 344.80334  13.60667  85.64345 -41.00468 11.711 12.019 12.758 11.430 11.609 12.713 0.100 0.059 0.050 0.095 0.056 0.070 0.080 1.439 1.705 0.120 0333
23010651+1623181 345.27716  16.38841  88.11976 -38.91244  8.900  9.129  9.767  8.830  9.068  9.719 0.034 0.019 0.017 0.033 0.019 0.018 0.077 1.800 1.948 0.680 0666
23322239+2330467 353.09683  23.51192 100.42923 -35.88003 11.479 11.820 12.526 11.478 11.820 12.526 0.072 0.047 0.036 0.119 0.029 0.024 0.063 1.501 1.667 0.340 0000
