# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Entries from original 2MASS XSC that have been rejected -- stellar sources, pieces of galaxies, artifacts, etc. This is *not* a complete list for the "extra" sample.
#
#ID               RAdeg     DECdeg      l         b       k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  flgs type  ts
06220599+1646075  95.52488  16.76877 194.71666   1.30470 10.913 11.047 11.745 10.480 10.571 11.338 0.061 0.052 0.042 0.077 0.072 0.069 0.935 1.253 1.691 0.780 0133 25    ZC
06332198+1844197  98.34151  18.73884 194.21103   4.59422 11.135 11.383 11.966 10.972 11.243 11.759 0.061 0.042 0.031 0.054 0.043 0.035 0.365 1.255 1.486 0.700 0555 25    ZC
06433846-0107470 100.91038  -1.12960 213.04890  -2.24959 10.104  9.271  8.370 10.021  9.125  8.355 0.081 0.062 0.045 0.089 0.072 0.060 5.501 1.045 1.299 0.680 0003 25    ZC
07051158-3158261 106.29841 -31.97376 243.21532 -11.31311 12.862 13.179 13.820 12.733 13.102 13.707 0.109 0.073 0.062 0.144 0.106 0.085 0.160 1.064 1.314 0.460 0000 25    ZC
07052993-4713102 106.37482 -47.21952 257.68976 -17.31414 12.720 13.431 14.113 12.665 13.400 13.827 0.082 0.078 0.079 0.106 0.121 0.093 0.089 0.991 1.092 0.440 0044 25    ZC
07064789-3955314 106.69955 -39.92538 250.78267 -14.29627 12.566 12.830 13.507 12.454 12.536 13.204 0.109 0.059 0.056 0.134 0.065 0.062 0.165 1.076 1.339 0.420 0000 25    ZC
07240778-5341056 111.03258 -53.68491 265.12390 -17.00696 12.515 12.889 13.582 12.354 12.550 13.440 0.088 0.079 0.061 0.106 0.089 0.081 0.143 0.973 1.276 0.680 0000 25    ZC
07284637+6911284 112.19324  69.19124 146.44598  28.52358 11.775 12.124 12.415 10.607 12.124 11.255 0.110 0.117 0.057 0.130 0.117 0.067 0.037 1.643 2.041 0.462 Z000 40    ZC
08034286+4256530 120.92864  42.94801 177.07913  30.84615 12.550 12.843 13.490 12.466 12.741 13.457 0.059 0.044 0.037 0.075 0.057 0.052 0.044 0.806 1.119 0.940 0333 25    ZC
08470021-2049172 131.75089 -20.82143 245.47784  13.87676 12.931 13.133 13.802 12.526 12.765 13.499 0.155 0.081 0.083 0.191 0.105 0.111 0.173 1.057 1.423 0.760 0111 25    ZC
08565047+5402339 134.21022  54.04272 163.72392  39.86552 12.555 13.096 13.569 12.369 12.929 13.358 0.071 0.073 0.049 0.082 0.097 0.059 0.020 1.064 1.339 0.580 0000 25    ZC
09142542-2711572 138.60597 -27.19923 254.65732  14.71521 12.707 12.997 13.696 12.612 12.833 13.579 0.091 0.061 0.054 0.117 0.078 0.071 0.140 0.919 1.171 0.900 0000 25    ZC
09464588-3712376 146.69124 -37.21040 266.89600  12.42282 12.851 13.066 13.786 12.735 12.939 13.614 0.082 0.059 0.054 0.115 0.080 0.069 0.154 0.934 1.229 0.480 0000 25    ZC
10004941-0119238 150.20586  -1.32342 240.64464  40.07930 13.232 13.583 14.263 13.041 13.231 14.111 0.132 0.085 0.080 0.187 0.109 0.160 0.061 0.991 1.280 0.280 0000 25    ZC
10053034-3949002 151.37634 -39.81674 271.49353  12.71696 12.713 12.964 13.758 12.675 12.725 13.604 0.110 0.075 0.075 0.161 0.091 0.096 0.138 0.929 1.156 0.600 0333 25    ZC
10280239-0116472 157.00992  -1.27979 246.55730  45.31813 12.582 12.867 13.436 12.514 12.795 13.133 0.084 0.051 0.040 0.104 0.066 0.041 0.051 0.903 1.088 0.800 0111 23    ZC
10463965-0011325 161.66512  -0.19237 250.12524  49.44425 13.654 14.049 14.853 13.203 13.986 14.670 0.203 0.168 0.142 0.257 0.308 0.229 0.040 0.886 1.192 1.000 0000 25    ZC
11101412-0614559 167.55882  -6.24876 262.95285  48.60819 13.083 13.511 14.155 12.886 13.402 13.915 0.087 0.050 0.055 0.119 0.078 0.074 0.041 0.924 1.188 0.440 0000 25    ZC
11321594+5557466 173.06656  55.96302 143.79295  57.84224 12.585 12.941 13.645 12.513 12.883 13.482 0.055 0.045 0.036 0.071 0.065 0.046 0.020 0.806 1.130 0.920 0000 40    ZC
11322321+5558025 173.09669  55.96739 143.76218  57.84819 12.112 12.326 12.998 11.619 12.029 12.632 0.103 0.074 0.056 0.088 0.081 0.059 0.019 1.190 1.460 0.760 0333 40    ZC
11451528+1129370 176.31372  11.49371 254.90051  67.95460 12.393 12.715 13.467 12.212 12.186 13.033 0.094 0.053 0.055 0.105 0.046 0.053 0.030 0.973 1.249 0.820 0333 25    ZC
12045011-0231101 181.20889  -2.51956 280.35770  58.29480 13.318 13.949 14.741 13.130 13.651 14.506 0.094 0.067 0.067 0.135 0.093 0.093 0.025 0.826 1.086 0.680 0000 25    ZC
12324758-0339426 188.19821  -3.66183 293.90329  58.88262 12.717 13.045 13.747 12.618 12.906 13.725 0.084 0.047 0.044 0.109 0.061 0.067 0.044 0.881 1.164 0.560 0000 25    ZC
12501186-0556125 192.54948  -5.93667 302.36676  56.93366 12.870 13.094 13.857 12.710 12.943 13.796 0.075 0.045 0.043 0.097 0.059 0.061 0.035 0.869 1.152 0.680 0000 25    ZC
12503630-0603438 192.65135  -6.06219 302.55380  56.80889 13.509 13.888 14.543 13.248 13.739 14.444 0.122 0.085 0.076 0.176 0.135 0.115 0.035 0.820 1.075 0.780 0333 25    ZC
12504518-0404098 192.68835  -4.06947 302.60233  58.80178 13.053 13.494 14.204 12.804 13.143 14.186 0.112 0.076 0.065 0.142 0.095 0.104 0.025 1.076 1.362 0.340 0000 25    ZC
12510038-0516232 192.75163  -5.27318 302.73145  57.59834 13.356 14.005 14.771 13.168 13.821 14.506 0.119 0.101 0.089 0.174 0.155 0.122 0.033 0.820 1.068 1.000 0333 25    ZC
12535095-0010102 193.46242  -0.16956 304.24634  62.69597 13.124 13.566 14.318 12.964 13.471 14.186 0.108 0.086 0.078 0.149 0.135 0.112 0.033 0.792 1.057 1.000 0000 25    ZC
12535135-0443452 193.46400  -4.72918 304.07318  58.13715 13.541 14.337 15.043 13.174 14.254 14.960 0.138 0.160 0.134 0.180 0.274 0.230 0.021 0.799 1.068 1.000 0000 25    ZC
13005303+0223122 195.22098   2.38672 308.55481  65.15522 13.200 13.744 14.475 12.729 13.696 14.430 0.117 0.092 0.091 0.169 0.223 0.205 0.023 0.857 1.335 0.800 0000 25    ZC
13152166+0118494 198.84036   1.31372 316.45938  63.55532 12.743 13.146 14.025 12.612 13.011 13.832 0.106 0.074 0.077 0.132 0.100 0.099 0.034 1.021 1.281 0.540 0333 32    ZC
13183230-5832091 199.63437 -58.53602 306.47144   4.14938  9.917 10.055 10.709  9.816  9.952 10.609 0.056 0.043 0.046 0.050 0.039 0.050 0.769 1.346 1.546 0.820 0133 25    ZC
13233757-0112583 200.90660  -1.21616 319.50479  60.61564 13.329 13.600 14.317 12.885 13.276 13.977 0.097 0.054 0.053 0.115 0.069 0.065 0.033 0.778 1.104 0.780 0000 25    ZC
13355655+0112175 203.98564   1.20493 327.16592  61.96439 13.529 14.257 15.305 13.188 13.832 14.999 0.142 0.145 0.173 0.191 0.177 0.240 0.024 0.851 1.102 1.000 0000 25    ZC
13423447-1039134 205.64363 -10.65379 322.80707  50.23414 11.832 12.104 12.742 11.744 11.769 12.377 0.063 0.034 0.027 0.098 0.046 0.036 0.059 0.973 1.452 0.740 0111 23    ZC
13564700+6532539 209.19586  65.54826 112.44587  50.22880 13.350 14.095 14.492 13.192 13.665 14.181 0.082 0.111 0.061 0.128 0.137 0.077 0.018 0.919 1.222 0.440 0000 25    ZC
14015973-0053019 210.49902  -0.88382 336.98996  57.24669 13.319 13.663 14.251 13.178 13.640 14.217 0.102 0.063 0.054 0.155 0.111 0.084 0.046 0.833 1.138 1.000 0000 25    ZC
14165524+2916154 214.23021  29.27103  44.44323  71.07094 12.626 13.036 13.715 12.348 12.665 13.353 0.074 0.058 0.051 0.086 0.068 0.059 0.018 0.987 1.317 0.920 0000 25    ZC
14201541+3459228 215.06418  34.98974  60.91149  69.47674 13.295 13.690 14.400 13.211 13.581 14.220 0.075 0.059 0.052 0.126 0.093 0.071 0.017 0.820 1.101 0.580 0000 25    ZC
14232039+0502372 215.83499   5.04376 351.76932  58.90395 13.442 13.870 14.648 13.192 13.844 14.373 0.102 0.066 0.075 0.153 0.120 0.100 0.027 0.875 1.184 0.600 0000 25    ZC
14232817+0106072 215.86739   1.10206 347.08463  55.87432 13.007 13.291 14.032 12.715 13.241 13.979 0.106 0.059 0.065 0.132 0.097 0.100 0.029 1.013 1.342 0.500 0000 25    ZC
14384126-0422469 219.67198  -4.37987 346.44412  49.21452 13.364 13.664 14.297 13.221 13.647 14.249 0.125 0.093 0.073 0.195 0.162 0.113 0.100 0.875 1.114 0.620 0000 25    ZC
15135011-3258467 228.45885 -32.97971 334.47607  21.02882 12.706 12.891 13.697 12.576 12.774 13.491 0.088 0.080 0.064 0.110 0.107 0.080 0.310 1.083 1.324 0.360 0000 25    ZC
15465585-4804096 236.73267 -48.06936 330.64160   5.13407  9.933 10.067 10.730  9.884  9.986 10.730 0.035 0.033 0.033 0.031 0.029 0.082 0.852 1.212 1.419 0.660 0333 98    NN
15574353+0217552 239.43126   2.29874  12.00321  39.02181 13.120 13.528 14.078 12.975 13.418 13.948 0.101 0.069 0.060 0.141 0.105 0.083 0.089 0.908 1.163 0.600 0000 25    ZC
15590532-1542540 239.77214 -15.71482 355.35724  27.49914 12.244 12.600 13.220 12.160 12.496 13.107 0.063 0.036 0.031 0.246 0.046 0.040 0.230 0.903 1.198 0.740 0000 25    ZC
16111189-1632173 242.79962 -16.53813 356.85056  24.78996 12.287 12.872 13.656 12.059 12.812 13.353 0.094 0.073 0.073 0.103 0.109 0.088 0.273 1.130 1.432 0.380 0333 25    ZC
16465670-3721166 251.73618 -37.35471 346.02499   5.10608 10.070 10.294 10.785  9.969 10.275 10.626 0.064 0.063 0.055 0.056 0.063 0.055 0.940 1.352 1.551 0.600 0444 98    NN
17081118+6337400 257.04660  63.62786  93.51463  35.49781 12.836 12.963 13.728 12.398 12.825 13.334 0.110 0.083 0.065 0.113 0.110 0.070 0.023 1.255 1.509 0.880 0111 40    ZC
17180383+5648563 259.51578  56.81550  85.04971  35.07452 13.123 13.550 14.219 12.739 13.141 13.909 0.099 0.072 0.067 0.131 0.099 0.094 0.024 0.903 1.318 0.740 0000 25    ZC
17230665+5705081 260.77765  57.08557  85.33781  34.37421 13.463 13.822 14.457 13.231 13.665 13.761 0.128 0.101 0.088 0.188 0.166 0.078 0.028 1.041 1.318 0.540 0000 25    ZC
17362395-1726002 264.09976 -17.43341   8.70282   7.84322 10.588 10.857 11.486 10.469 10.669 11.376 0.082 0.082 0.077 0.073 0.075 0.085 0.483 1.253 1.474 0.880 0133 21    LM
17404833-1750547 265.20136 -17.84853   8.89969   6.73137  8.001  8.264 99.999  7.980  8.184 12.269 0.012 0.014 9.999 0.013 0.013 0.056 0.523 1.512 1.724 0.440 031n 98    NN
18114549+6955065 272.93954  69.91846 100.24097  28.74473 13.209 13.367 14.065 13.016 13.242 13.974 0.093 0.050 0.047 0.128 0.071 0.066 0.053 0.881 1.116 0.800 0333 25    ZC
18122704+6955204 273.11285  69.92235 100.24647  28.68530 12.580 12.985 13.651 12.431 12.934 13.517 0.082 0.050 0.044 0.096 0.071 0.059 0.053 1.107 1.364 0.320 0003 25    ZC
19163558-1446497 289.14828 -14.78053  22.39570 -12.15698 12.465 12.705 13.306 12.351 12.495 13.116 0.083 0.057 0.048 0.103 0.068 0.059 0.182 0.924 1.234 0.840 0222 25    ZC
19165301-2415299 289.22079 -24.25829  13.50338 -16.09563 13.152 13.547 14.308 12.907 13.486 14.268 0.167 0.135 0.146 0.209 0.211 0.222 0.129 1.086 1.170 0.600 0111 25    ZC
19523403+3436334 298.14191  34.60934  70.21327   3.77975 11.374 11.323 11.891 11.374 11.323 11.891 0.115 0.088 0.084 0.066 0.054 0.056 0.730 1.447 1.447 0.820 0222 25    ZC
20011937+3756002 300.33081  37.93343  73.97928   3.98924 11.278 11.441 12.013 11.201 11.209 11.960 0.072 0.054 0.054 0.070 0.051 0.066 0.788 1.045 1.296 0.700 0333 25    ZC
20113049+4209265 302.87711  42.15738  78.60339   4.60040 11.240 11.558 12.265 11.111 11.442 12.037 0.076 0.071 0.080 0.073 0.082 0.094 1.250 1.276 1.492 0.360 0333 25    ZC
20423595-0703260 310.64987  -7.05727  39.53563 -27.89314 13.037 13.378 14.048 12.573 13.057 13.697 0.077 0.049 0.046 0.098 0.076 0.066 0.038 0.845 1.321 0.740 0000 25    ZC
21062756-3414061 316.61484 -34.23520   9.96974 -41.71061 13.075 13.334 14.088 12.891 13.173 13.870 0.083 0.063 0.051 0.111 0.086 0.065 0.075 0.973 1.208 0.480 0333 25    ZC
21211196-0649116 320.29980  -6.81985  45.07018 -36.25445 12.737 13.270 13.886 12.640 13.203 13.609 0.071 0.062 0.051 0.099 0.100 0.063 0.228 0.857 1.176 0.840 0313 25    ZC
21280593+0837328 322.02469   8.62585  61.54708 -29.16531 11.915 12.182 12.748 11.835 12.098 12.648 0.061 0.048 0.030 0.064 0.055 0.034 0.058 1.053 1.273 0.660 0000 25    ZC
21390273-6837046 324.76160 -68.61788 323.64310 -39.88906 12.823 13.126 13.618 12.772 12.960 13.379 0.065 0.052 0.036 0.096 0.071 0.043 0.033 0.833 1.169 0.840 0000 25    ZC
21543287-0636271 328.63705  -6.60753  50.71374 -43.31669 12.305 12.625 13.204 12.075 12.053 12.693 0.085 0.063 0.043 0.097 0.057 0.042 0.030 1.061 1.404 0.820 0111 23    ZC
22062264-2104574 331.59436 -21.08255  32.90072 -52.01918 13.149 13.646 14.248 12.911 13.357 14.022 0.120 0.120 0.081 0.159 0.163 0.107 0.043 0.968 1.246 0.780 0000 25    ZC
22310862-2604000 337.78610 -26.06664  26.75662 -58.72207 12.923 13.170 13.929 12.867 13.074 13.850 0.065 0.049 0.039 0.091 0.069 0.058 0.018 0.929 1.222 0.560 0000 25    ZC
22314935+1941454 337.95557  19.69590  83.36745 -32.24273 13.677 13.950 14.503 13.208 13.501 14.061 0.146 0.078 0.075 0.186 0.101 0.089 0.057 0.863 1.232 0.780 0333 40    ZC
22583500-3024517 344.64594 -30.41430  18.61628 -65.11692 13.411 13.730 14.329 13.221 13.487 14.235 0.114 0.074 0.064 0.171 0.106 0.097 0.020 0.924 1.213 1.000 0333 25    ZC
22590440-2601013 344.76834 -26.01704  29.02779 -64.90351 13.414 13.762 14.243 13.181 13.647 14.192 0.104 0.089 0.061 0.149 0.148 0.093 0.029 0.763 1.043 1.000 0000 25    ZC
23141913-2932303 348.57986 -29.54163  20.75449 -68.53269 12.348 12.722 13.411 12.220 12.580 13.254 0.057 0.042 0.032 0.065 0.051 0.040 0.027 0.924 1.217 0.800 0333 25    ZC
