# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Galaxies within our survey boundaries without a measured redshift. Please observe them and let us know! Thanks!
#
#ID               RAdeg     DECdeg      l         b       k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt  e_bv r_iso r_ext  b/a  flgs  type  ts
14553218-5209040 223.88412 -52.15111 321.48001   6.19439 11.128 11.360 12.069 11.003 11.196 11.929 0.072 0.058 0.057 0.065 0.059 0.063 0.638 1.299 1.508 0.420 0222 98    NN
04425866+2229294  70.74442  22.49151 177.13023 -15.23103 11.200 11.569 12.331 11.086 11.485 12.152 0.065 0.055 0.050 0.060 0.061 0.056 0.655 1.542 1.744 0.140 0333  5    ZC
04141963+2025240  63.58179  20.42339 174.23596 -21.64759 11.209 11.548 12.355 11.112 11.465 12.228 0.056 0.044 0.044 0.052 0.051 0.053 0.608 1.430 1.625 0.200 0000  4    ZC
14315310-5443499 217.97130 -54.73049 317.17981   5.33860 11.214 11.505 12.337 10.796 11.413 11.982 0.102 0.084 0.099 0.129 0.167 0.172 0.730 1.215 1.661 0.660 0222 98    NN
06572590-3841539 104.35793 -38.69840 248.87955 -15.48147 11.224 11.639 12.434 11.132 11.567 12.341 0.068 0.038 0.038 0.064 0.040 0.046 0.144 1.375 1.572 0.240 0000 98    JH
14344657-5259184 218.69394 -52.98840 318.24976   6.78238 11.249 11.471 12.164 11.040 11.182 12.013 0.092 0.063 0.064 0.085 0.062 0.078 0.570 1.233 1.501 0.600 0333 98    NN
14580383-5147302 224.51607 -51.79182 321.99493   6.33105 11.265 11.570 12.333 11.011 11.451 12.108 0.070 0.062 0.060 0.080 0.092 0.091 0.595 1.121 1.520 0.600 0300 98    NN
14373109-5353249 219.37952 -53.89028 318.26880   5.79254 11.266 11.333 11.980 10.733 11.011 11.513 0.098 0.075 0.069 0.080 0.076 0.067 0.776 1.288 1.584 0.620 0331 98    NN
05220615+1500037  80.52567  15.00107 188.93535 -12.04297 11.272 11.718 12.493 11.188 11.594 12.409 0.066 0.046 0.044 0.062 0.050 0.054 0.450 1.307 1.515 0.260 0000 98    NN
16135369-3911014 243.47375 -39.18368 340.22623   8.60625 11.275 11.529 12.063 11.188 11.463 11.727 0.065 0.062 0.048 0.067 0.074 0.048 0.943 1.004 1.293 0.900 0331 98    NN
13323711-5701208 203.15459 -57.02250 308.53931   5.40024 11.279 11.327 12.092 11.083 11.183 11.964 0.094 0.064 0.067 0.097 0.076 0.091 0.855 1.143 1.467 0.700 0333 98    NN
14042078-1513217 211.08658 -15.22266 327.78479  44.10246 11.302 11.647 12.326 11.169 11.506 12.222 0.075 0.051 0.036 0.067 0.053 0.042 0.090 1.467 1.650 0.240 0333 98    NN
15000436-5229581 225.01785 -52.49950 321.93118   5.56189 11.314 11.508 12.279 11.155 11.336 12.182 0.100 0.085 0.090 0.091 0.087 0.108 0.756 1.394 1.588 0.320 0333 98    NN
15395744-3414570 234.98930 -34.24915 338.32623  16.79590 11.314 11.535 12.174 11.168 11.438 12.132 0.055 0.048 0.037 0.055 0.058 0.049 0.702 1.111 1.416 0.700 0333 98    NN
13321039-5717285 203.04326 -57.29122 308.43658   5.14453 11.315 11.523 12.183 11.268 11.416 12.121 0.070 0.054 0.053 0.070 0.060 0.065 0.797 1.161 1.404 0.360 0333 98    NN
14210708-7120446 215.27945 -71.34573 310.04156  -9.72252 11.315 11.543 12.105 11.315 11.543 12.105 0.057 0.031 0.029 0.031 0.019 0.019 0.248 1.238 1.239 0.520 0222 98    NN
06130162+3225155  93.25676  32.42102 179.89035   6.84294 11.318 11.623 12.374 11.221 11.564 12.210 0.066 0.053 0.047 0.062 0.060 0.053 0.666 1.430 1.625 0.240 0111 98    NN
15251516-3341130 231.31320 -33.68700 336.13168  19.08754 11.323 11.593 12.283 11.000 11.402 11.915 0.080 0.064 0.050 0.084 0.087 0.063 0.531 1.207 1.568 0.820 0333 98    NN
08242889-5020381 126.12032 -50.34390 266.69879  -7.28210 11.333 11.617 12.353 11.275 11.545 12.156 0.059 0.039 0.038 0.060 0.045 0.043 0.751 1.061 1.328 0.720 0333 98    NN
08490622-5230051 132.27603 -52.50146 270.74384  -5.48980 11.333 11.549 12.269 11.207 11.297 12.046 0.081 0.057 0.053 0.078 0.060 0.059 0.744 1.140 1.391 0.760 0133 98    NN
14504507-5234375 222.68785 -52.57713 320.63086   6.14583 11.336 11.534 12.259 11.212 11.432 11.767 0.079 0.069 0.066 0.091 0.092 0.068 0.678 1.152 1.506 0.540 0333 98    NN
09205971-3903274 140.24893 -39.05767 264.43790   7.60436 11.339 11.621 12.317 11.339 11.621 12.317 0.067 0.043 0.038 0.037 0.027 0.026 0.270 1.407 1.407 0.240 0000 98    NN
14300299-5234205 217.51254 -52.57242 317.74472   7.44003 11.342 11.700 12.369 11.163 11.490 12.166 0.101 0.078 0.074 0.090 0.080 0.081 0.569 1.483 1.682 0.240 0222 98    NN
17113881-2413494 257.91177 -24.23040 359.75174   8.92726 11.342 11.719 12.332 10.816 11.705 11.874 0.134 0.133 0.126 0.150 0.278 0.187 0.620 1.367 1.769 0.600 0323 98    NN
16242545-2504417 246.10609 -25.07825 352.22443  16.80233 11.343 11.682 12.407 11.166 11.524 12.207 0.091 0.062 0.062 0.087 0.071 0.075 0.999 1.176 1.412 0.720 0000 98    NN
07544758+6301019 118.69830  63.01718 153.58093  31.10183 11.346 11.650 12.381 11.204 11.491 12.249 0.063 0.047 0.033 0.059 0.046 0.037 0.043 1.425 1.613 0.360 0333  4X   ZC
08220940-4955096 125.53929 -49.91934 266.13361  -7.35058 11.356 11.618 12.166 10.834 11.326 11.751 0.118 0.080 0.078 0.105 0.102 0.094 0.993 1.401 1.723 0.620 0000 98    NN
07510509-3822454 117.77120 -38.37932 253.32527  -5.94481 11.357 11.554 12.193 11.350 11.282 12.000 0.109 0.068 0.065 0.119 0.062 0.070 0.646 1.207 1.393 0.960 0222 98    NN
15390289-3454267 234.76208 -34.90747 337.74631  16.39651 11.358 11.507 12.115 11.260 11.369 11.815 0.074 0.065 0.049 0.075 0.071 0.051 0.935 1.199 1.430 0.720 0333 98    NN
16165319-3636147 244.22166 -36.60410 342.48486  10.03276 11.371 11.695 12.376 11.289 11.383 12.304 0.070 0.075 0.066 0.074 0.075 0.088 0.941 1.041 1.318 0.840 0222 98    NN
03215557+2149375  50.48157  21.82713 163.31828 -29.00224 11.372 11.777 12.522 11.256 11.672 12.374 0.053 0.044 0.032 0.049 0.047 0.037 0.232 1.260 1.482 0.420 0000 98    NN
15531790-0444453 238.32455  -4.74602   4.01999  35.75502 11.379 11.770 12.806 11.113 11.601 12.698 0.076 0.063 0.077 0.079 0.084 0.123 0.865 1.158 1.501 0.820 0000 98    NN
13252800-5612203 201.36678 -56.20573 307.68097   6.35194 11.380 11.652 12.447 11.093 11.420 12.086 0.069 0.055 0.061 0.080 0.077 0.083 0.570 1.111 1.521 0.820 0333 98    NN
14410059-5237168 220.25247 -52.62129 319.26709   6.74032 11.380 11.648 12.398 10.862 11.174 12.325 0.100 0.073 0.078 0.140 0.122 0.206 0.704 1.199 1.676 0.600 0222 98    NN
16213313-3532469 245.38794 -35.54646 343.92188  10.10474 11.380 11.586 12.154 10.942 11.568 12.081 0.081 0.063 0.054 0.109 0.138 0.121 0.857 1.230 1.708 0.540 0333 98    NN
06441354+1628577 101.05647  16.48269 197.40570   5.88454 11.384 11.781 12.393 11.230 11.691 12.245 0.065 0.053 0.038 0.059 0.058 0.042 0.217 1.328 1.533 0.440 0111 98    NN
08360158-5425415 129.00661 -54.42827 271.08890  -8.20651 11.384 11.693 12.292 11.241 11.437 11.969 0.068 0.049 0.042 0.067 0.050 0.043 0.559 1.064 1.348 0.760 0333 98    NN
09220499-5745582 140.52081 -57.76614 277.83282  -5.48983 11.393 11.685 12.444 11.325 11.576 12.224 0.062 0.049 0.051 0.063 0.055 0.056 0.583 1.049 1.325 0.840 0333 98    NN
14462697-5244476 221.61240 -52.74650 319.96640   6.27927 11.405 11.692 12.405 11.203 11.596 12.275 0.093 0.079 0.083 0.101 0.101 0.112 0.737 1.246 1.535 0.640 0232 98    NN
09261996-5807100 141.58310 -58.11943 278.48514  -5.34507 11.408 11.597 12.395 11.132 11.111 12.372 0.099 0.069 0.076 0.096 0.062 0.116 0.598 1.286 1.588 0.520 0333 98    NN
14572855-5143042 224.36899 -51.71779 321.94894   6.43913 11.409 11.584 12.403 11.019 11.268 12.133 0.087 0.071 0.071 0.098 0.096 0.111 0.617 1.255 1.666 0.380 0333 98    NN
16005204-4117112 240.21680 -41.28656 336.93585   8.75218 11.414 11.616 12.254 11.322 11.411 12.182 0.062 0.054 0.050 0.060 0.055 0.060 0.610 1.215 1.441 0.300 0303 98    NN
16013838-4022084 240.40997 -40.36897 337.66342   9.34129 11.420 11.763 12.410 11.241 11.725 12.253 0.065 0.063 0.058 0.064 0.088 0.072 0.566 1.068 1.363 0.980 0313 98    NN
16572980-2244216 254.37424 -22.73933 359.03821  12.42828 11.420 11.777 12.672 10.988 11.689 12.359 0.090 0.070 0.079 0.126 0.157 0.158 0.693 1.124 1.600 0.980 0333 98    NN
08290119-5121097 127.25489 -51.35268 267.94601  -7.27052 11.429 11.695 12.059 11.196 11.498 11.865 0.082 0.063 0.047 0.082 0.074 0.074 0.891 1.250 1.548 0.760 0333 98    NN
13183446-6949234 199.64346 -69.82325 305.28494  -7.07554 11.435 11.644 12.287 10.937 11.625 12.279 0.103 0.073 0.066 0.096 0.118 0.116 0.334 1.161 1.542 0.920 0000 98    NN
04395875+2137140  69.99486  21.62058 177.38452 -16.31787 11.436 11.702 12.466 11.337 11.576 12.369 0.051 0.032 0.029 0.064 0.038 0.050 0.475 1.318 1.531 0.240 0303 98    NN
15162151-5040098 229.08961 -50.66941 325.05307   5.87177 11.436 11.684 12.472 11.347 11.390 12.263 0.075 0.063 0.071 0.077 0.061 0.080 0.666 1.057 1.325 0.920 0000 98    NN
13393947-5516027 204.91446 -55.26744 309.81677   6.95843 11.441 11.639 12.289 11.148 11.402 11.819 0.113 0.074 0.076 0.108 0.082 0.074 0.570 1.241 1.538 0.480 0111 98    NN
02482508+4758003  42.10441  47.96678 142.35982 -10.44319 11.457 11.720 12.442 11.286 11.492 12.246 0.061 0.044 0.034 0.060 0.045 0.039 0.196 1.130 1.431 0.500 0000 98    NN
14585789-5236049 224.74121 -52.60138 321.73386   5.55195 11.458 11.732 12.429 11.318 11.605 12.235 0.089 0.081 0.080 0.086 0.090 0.090 0.654 1.210 1.442 0.460 0333 98    NN
14560761-5203426 224.03177 -52.06183 321.60242   6.23162 11.459 11.745 12.389 11.347 11.600 12.002 0.086 0.076 0.070 0.086 0.084 0.066 0.619 1.121 1.372 0.700 0111 98    NN
06135924+3236467  93.49695  32.61301 179.81454   7.11167 11.464 11.846 12.756 11.337 11.749 12.657 0.066 0.056 0.058 0.065 0.064 0.073 0.607 1.342 1.546 0.280 0000 98    NN
15574761-4020589 239.44852 -40.34973 337.11868   9.83989 11.467 11.766 12.412 11.372 11.766 12.412 0.068 0.063 0.058 0.070 0.041 0.040 0.501 1.415 1.620 0.240 0000 98    NN
16325935-2723101 248.24738 -27.38617 351.74905  13.83505 11.468 11.705 12.406 11.195 11.450 12.067 0.107 0.081 0.067 0.099 0.085 0.071 0.490 1.274 1.524 0.840 0111 98    NN
17093394-2238225 257.39148 -22.63955   0.78988  10.23526 11.468 11.769 12.589 11.347 11.657 12.489 0.073 0.068 0.063 0.071 0.077 0.079 0.688 1.090 1.336 0.700 0333 98    NN
03210741+1211394  50.28091  12.19432 170.55327 -36.48070 11.475 11.676 12.320 11.355 11.376 12.076 0.068 0.040 0.037 0.067 0.038 0.039 0.650 1.260 1.482 0.520 0000 98    NN
14285947-5444549 217.24786 -54.74870 316.78397   5.47803 11.481 11.457 12.059 11.241 10.991 11.662 0.125 0.078 0.083 0.114 0.064 0.077 0.643 1.328 1.556 0.680 0222 98    NN
15545670-6047045 238.73618 -60.78458 323.54071  -5.48283 11.484 11.634 12.356 11.405 11.465 12.262 0.088 0.062 0.069 0.089 0.064 0.084 0.505 1.061 1.333 0.820 0111 98    NN
15251676-3337300 231.31984 -33.62507 336.17480  19.13449 11.491 11.734 12.507 11.267 11.242 12.241 0.074 0.059 0.050 0.079 0.056 0.063 0.552 1.072 1.422 0.840 0333 98    NN
16175616-3825189 244.48428 -38.42194 341.33426   8.59792 11.497 11.684 12.397 11.304 11.358 12.016 0.100 0.098 0.090 0.098 0.095 0.091 0.994 1.182 1.418 0.620 0333 98    NN
04141724+2312160  63.57191  23.20448 172.03929 -19.77321 11.499 11.840 12.686 11.297 11.835 12.674 0.067 0.052 0.052 0.065 0.065 0.070 0.455 1.396 1.622 0.540 0333 98    NN
03212745+3046206  50.36427  30.77238 157.25635 -21.92111 11.501 11.839 12.565 11.431 11.756 12.457 0.049 0.044 0.040 0.051 0.051 0.050 0.609 1.301 1.521 0.260 0000 98    NN
16292221-2652276 247.34259 -26.87439 351.59811  14.77789 11.501 11.598 12.186 10.915 11.598 12.186 0.131 0.083 0.074 0.102 0.053 0.051 0.659 1.418 1.702 0.520 0333 98    NN
19190375-0250124 289.76569  -2.83682  33.55104  -7.43783 11.501 11.696 12.453 11.418 11.532 12.353 0.076 0.057 0.060 0.076 0.060 0.073 0.676 1.207 1.434 0.360 0313 98    NN
15492407-6102129 237.35025 -61.03690 322.85675  -5.25067 11.502 11.791 12.465 11.293 11.298 12.311 0.129 0.109 0.109 0.126 0.093 0.137 0.474 1.179 1.463 0.920 0222 98    NN
17333667-1632035 263.40292 -16.53439   9.12034   8.88330 11.502 11.724 12.420 11.458 11.600 12.338 0.062 0.056 0.055 0.066 0.062 0.068 0.449 0.940 1.248 0.720 0333 98    NN
04394985+2715306  69.95765  27.25847 172.86308 -12.76259 11.503 11.665 12.306 11.359 11.499 12.227 0.063 0.038 0.035 0.064 0.043 0.045 0.718 1.061 1.359 0.680 0333 98    NN
04395162+3727031  69.96508  37.45090 165.03017  -6.11009 11.503 11.822 12.482 11.359 11.700 12.326 0.080 0.061 0.058 0.079 0.073 0.070 0.947 1.318 1.531 0.320 0111 98    NN
06410069-1220226 100.25289 -12.33963 222.81021  -7.87346 11.503 11.868 12.641 11.347 11.856 12.548 0.089 0.061 0.058 0.087 0.079 0.076 0.525 1.127 1.389 0.680 0033 98    NN
15594742-5956494 239.94756 -59.94710 324.54404  -5.23340 11.503 11.764 12.501 11.438 11.379 12.013 0.085 0.067 0.079 0.106 0.071 0.082 0.382 1.212 1.600 0.220 0000 98    NN
20460334+5915577 311.51401  59.26610  95.84152  10.01117 11.503 11.733 12.479 11.101 11.549 12.363 0.060 0.066 0.055 0.082 0.125 0.119 0.839 1.121 1.590 0.780 0000 98    NN
22520937+3741024 343.03915  37.68392  98.27007 -19.40987 11.503 11.797 12.520 11.069 11.410 12.145 0.074 0.046 0.037 0.096 0.071 0.061 0.157 1.173 1.617 0.820 0000 98    NN
20121850+0929126 303.07715   9.48687  51.00945 -13.19137 11.504 11.873 12.731 11.425 11.798 12.361 0.064 0.046 0.044 0.072 0.058 0.046 0.202 1.352 1.676 0.180 0000 98    NN
06330049+2222008  98.25205  22.36699 190.92532   6.16591 11.505 11.890 12.522 11.013 11.472 12.321 0.074 0.056 0.043 0.101 0.096 0.094 0.264 1.217 1.685 0.840 0333 98    NN
08484607-3243335 132.19191 -32.72598 255.30515   6.90731 11.505 11.828 12.702 11.393 11.643 12.540 0.079 0.046 0.050 0.095 0.065 0.058 0.329 1.401 1.630 0.180 0000 98    NN
05170984+1238502  79.29099  12.64725 190.30569 -14.32284 11.506 11.756 12.456 11.300 11.700 12.304 0.061 0.051 0.042 0.059 0.062 0.050 0.669 1.384 1.614 0.280 0000 98    NN
06224182+2635317  95.67427  26.59221 186.06828   6.00270 11.506 11.801 12.470 11.353 11.603 12.272 0.049 0.041 0.033 0.046 0.042 0.036 0.419 1.223 1.452 0.400 0000 98    NN
06591158-3939322 104.79809 -39.65900 249.93596 -15.53566 11.506 11.807 12.504 11.445 11.749 12.357 0.060 0.031 0.029 0.060 0.036 0.032 0.145 1.029 1.305 0.640 0000 98    NN
09514975-4126539 147.95729 -41.44825 270.45309   9.82712 11.506 11.713 12.436 11.422 11.560 12.344 0.051 0.035 0.031 0.051 0.037 0.037 0.362 1.049 1.322 0.620 0333 98    NN
14513118-6630333 222.87985 -66.50924 314.50772  -6.37490 11.506 11.943 12.640 11.435 11.815 12.476 0.082 0.068 0.071 0.082 0.075 0.081 0.332 1.190 1.427 0.420 0333 98    NN
16424712-6151097 250.69626 -61.85266 326.87741 -10.28592 11.506 11.771 12.423 11.147 11.378 11.865 0.085 0.061 0.053 0.093 0.072 0.057 0.199 1.253 1.631 0.600 0333 98    NN
18042392-4321128 271.09964 -43.35362 349.30453 -10.43606 11.506 11.807 12.485 11.449 11.676 12.370 0.057 0.049 0.043 0.056 0.052 0.048 0.123 1.017 1.275 0.800 0333 98    NN
05393634+1259047  84.90136  12.98459 192.95486  -9.49321 11.507 11.765 12.515 11.320 11.527 12.333 0.070 0.041 0.040 0.072 0.046 0.050 0.390 1.090 1.409 0.840 0000 98    NN
14302060-5355016 217.58594 -53.91726 317.27863   6.17657 11.507 12.041 13.144 11.487 11.658 12.733 0.068 0.062 0.083 0.075 0.061 0.092 0.801 1.111 1.296 0.380 0222 98    NN
04043821+6137377  61.15936  61.62709 143.87160   6.88425 11.508 11.843 12.570 11.391 11.711 12.363 0.069 0.063 0.056 0.068 0.073 0.064 0.804 1.334 1.544 0.340 0333 98    NN
04313828+5857393  67.90954  58.96089 148.15395   7.34314 11.508 11.729 12.473 11.192 11.466 12.161 0.063 0.048 0.046 0.067 0.060 0.060 0.594 1.185 1.538 0.880 0333 98    NN
07464588-1041200 116.69112 -10.68897 228.85391   7.15206 11.508 11.798 12.612 11.422 11.637 12.374 0.064 0.036 0.035 0.064 0.039 0.037 0.168 1.297 1.537 0.240 0003 98    NN
08103051-5038089 122.62703 -50.63581 265.71570  -9.30135 11.508 11.654 12.415 11.153 11.218 12.017 0.073 0.050 0.049 0.098 0.068 0.077 0.591 1.111 1.570 0.780 0333 98    NN
08154944-5035581 123.95609 -50.59937 266.14206  -8.56990 11.508 11.817 12.528 11.202 11.817 12.374 0.091 0.070 0.064 0.092 0.047 0.092 0.611 1.369 1.694 0.400 0333 98    NN
08583485-5747164 134.64532 -57.78798 275.71561  -7.81095 11.508 11.794 12.501 11.422 11.402 12.135 0.074 0.052 0.048 0.075 0.045 0.046 0.253 1.130 1.379 0.880 0333 98    NN
10131383-7608441 153.30789 -76.14552 293.79724 -16.16448 11.508 11.869 12.501 11.165 11.651 12.284 0.082 0.058 0.051 0.100 0.092 0.085 0.581 1.140 1.558 0.840 0333 98    NN
16212323-8231330 245.34708 -82.52581 309.34122 -22.43364 11.508 11.951 12.652 11.430 11.889 12.529 0.064 0.045 0.038 0.062 0.052 0.044 0.152 1.188 1.420 0.500 0000 98    NN
19523356+5734594 298.14001  57.58312  90.55943  15.02217 11.509 11.825 12.503 11.202 11.781 12.227 0.070 0.059 0.045 0.077 0.094 0.062 0.103 1.185 1.559 0.740 0311 98    NN
22345895+5206157 338.74551  52.10439 102.69065  -5.32201 11.509 11.720 12.299 11.316 11.621 12.093 0.058 0.044 0.033 0.063 0.057 0.041 0.294 1.086 1.445 0.680 0000 98    NN
05194119+2827437  79.92162  28.46211 177.29683  -5.02673 11.510 11.751 12.474 11.419 11.701 12.395 0.042 0.031 0.028 0.042 0.037 0.035 0.684 1.121 1.375 0.560 0000 98    NN
06585002-2051114 104.70852 -20.85312 232.42166  -7.78650 11.510 11.791 12.478 11.207 11.525 12.141 0.067 0.038 0.036 0.093 0.061 0.057 0.423 1.033 1.511 0.820 0133 98    NN
07381158-3252057 114.54835 -32.86834 247.20941  -5.51013 11.510 11.711 12.553 11.438 11.332 12.485 0.076 0.042 0.050 0.079 0.037 0.067 0.774 1.121 1.372 0.600 0000 98    NN
07450047-3632559 116.25191 -36.54889 251.12555  -6.08137 11.510 11.817 12.452 11.269 11.678 12.192 0.119 0.088 0.075 0.113 0.104 0.085 0.659 1.303 1.556 0.700 0111 98    NN
10212525-4912265 155.35529 -49.20743 279.32492   6.66435 11.510 11.854 12.565 11.412 11.766 12.272 0.075 0.060 0.046 0.074 0.068 0.046 0.254 1.104 1.360 0.740 0111 98    NN
18273360+0252390 276.89008   2.87756  32.77715   6.62282 11.510 11.742 12.374 11.075 11.388 11.842 0.131 0.108 0.105 0.145 0.145 0.129 0.798 1.212 1.593 0.680 0313 98    NN
05315137+1517480  82.96404  15.29661 189.96036  -9.89485 11.511 11.683 12.305 11.111 11.059 11.874 0.099 0.057 0.053 0.100 0.052 0.062 0.688 1.364 1.696 0.520 0330 98    NN
04570496+2541565  74.27065  25.69899 176.56886 -10.72039 11.512 11.864 12.473 11.208 11.669 12.342 0.066 0.064 0.055 0.068 0.083 0.079 0.917 1.270 1.584 0.540 0033 98    NN
05265332+5058497  81.72210  50.98042 159.38399   8.75525 11.512 11.731 12.450 11.438 11.651 12.390 0.037 0.028 0.023 0.037 0.033 0.028 0.431 1.127 1.377 0.420 0000 98    NN
07511654-3804424 117.81889 -38.07847 253.08278  -5.76117 11.512 11.659 12.340 11.303 11.411 12.126 0.101 0.062 0.064 0.100 0.067 0.076 0.790 1.140 1.423 0.600 0000 98    NN
11100933-4538255 167.53888 -45.64035 285.00851  13.67722 11.512 11.873 12.710 11.382 11.724 12.535 0.069 0.050 0.048 0.066 0.053 0.055 0.201 1.297 1.514 0.240 0333 98    NN
08120442-1842171 123.01853 -18.70478 238.96242   8.29586 11.513 12.049 12.741 11.405 11.742 12.476 0.083 0.069 0.055 0.087 0.066 0.059 0.107 1.170 1.408 0.700 0113 98    NN
15033214-5132167 225.88406 -51.53799 322.86652   6.14748 11.513 11.671 12.413 11.403 11.365 12.113 0.071 0.053 0.053 0.075 0.052 0.057 0.547 1.107 1.411 0.420 0333 98    NN
07152143-2511324 108.83937 -25.19237 238.04474  -6.32648 11.514 11.823 12.550 11.276 11.712 12.327 0.086 0.047 0.049 0.084 0.058 0.060 0.379 1.220 1.514 0.800 0222 98    NN
21521331+4454092 328.05557  44.90264  92.72640  -7.20323 11.514 11.805 12.562 11.351 11.636 12.434 0.071 0.053 0.048 0.069 0.058 0.059 0.338 1.170 1.440 0.620 0333 98    NN
03444530+3021303  56.18871  30.35844 161.74731 -19.15759 11.515 11.783 12.506 11.393 11.715 12.469 0.059 0.045 0.035 0.056 0.050 0.045 0.253 1.176 1.413 0.520 0000 98    NN
14562482-5213557 224.10355 -52.23218 321.56219   6.06028 11.515 11.702 12.460 11.298 11.616 12.314 0.089 0.074 0.075 0.090 0.096 0.099 0.646 1.137 1.456 0.700 0331 98    NN
20443218+3055103 311.13416  30.91949  73.31429  -7.31781 11.515 11.710 12.493 11.403 11.559 12.248 0.064 0.048 0.050 0.066 0.053 0.056 0.813 1.076 1.339 0.760 0000 98    NN
19221808-0530338 290.57535  -5.50938  31.50852  -9.36452 11.516 11.815 12.730 11.375 11.657 12.561 0.095 0.070 0.081 0.090 0.074 0.094 0.442 1.438 1.638 0.200 0030 98    NN
03565837+4638447  59.24318  46.64573 152.86818  -5.15865 11.517 11.740 12.451 11.318 11.617 12.148 0.065 0.053 0.043 0.067 0.065 0.050 0.617 1.097 1.420 0.820 0333 98    NN
05270585+5046117  81.77440  50.76997 159.58093   8.66877 11.517 11.923 12.632 11.424 11.856 12.534 0.046 0.039 0.034 0.047 0.046 0.041 0.495 1.305 1.514 0.440 0444 98    NN
13493777-5403270 207.40736 -54.05754 311.49124   7.84434 11.517 11.832 12.524 11.400 11.641 12.267 0.081 0.071 0.061 0.080 0.076 0.065 0.541 1.114 1.350 0.780 0333 98    NN
16131380-6234545 243.30774 -62.58179 323.95740  -8.26761 11.517 11.724 12.562 11.306 11.535 12.382 0.082 0.065 0.064 0.078 0.069 0.077 0.172 1.241 1.510 0.500 0333 98    NN
