# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "C/F/D": NED redshifts not used; preference given to measurements from 2MRS ([C]TIO, [F]LWO, Mc[D]onald). Contents presented in Table A6 in paper.
#
#2MASS_ID        NED_ID                         RA          DEC        TYPE   NED_CZ  ERR QUAL NED_BIBCODE         2MRS_CZ  ERR CD 2MRS_BIBCODE
03123142-7643242|AM 0313-765                   |03h12m31.4s -76d43m25s|G     | 15589|    |    |2003A&A...409...79F|  15371|  73|C |20112MRS.CTIO.0000H
03135763+4115241|V Zw 331                      |03h13m57.6s +41d15m24s|G     |  8814|  90|    |2001ApJS..134..355M|   8666|  34|F |20112MRS.FLWO.0000H
03143191+4246170|2MASX J03143191+4246170       |03h14m31.9s +42d46m17s|G     |  9084|  60|    |2001ApJS..134..355M|   9089|  31|F |20112MRS.FLWO.0000H
03255402-5120355|IC 1932                       |03h25m54.0s -51d20m35s|G     | 11970|  27|    |1989ESOLV.C...0000L|  11977|  40|C |20112MRS.CTIO.0000H
03263464+4141423|2MASX J03263464+4141423       |03h26m34.7s +41d41m43s|G     |  4257|  30|    |2001ApJS..134..355M|   4226|  17|F |20112MRS.FLWO.0000H
03270534+4657595|UGC 02737                     |03h27m05.4s +46d58m00s|G     |  5869|    |    |2003A&A...412...57P|   5663|  24|F |20112MRS.FLWO.0000H
03275526+3959497|2MASX J03275526+3959497       |03h27m55.2s +39d59m50s|G     |  7470|  20|    |2002AJ....123.3018M|   7483|  32|F |20112MRS.FLWO.0000H
03281552+4009347|2MASX J03281552+4009347       |03h28m15.6s +40d09m35s|G     |  6232|  21|    |2006AJ....132..197W|   6272|  24|F |20112MRS.FLWO.0000H
03282138+4310419|V Zw 347                      |03h28m21.4s +43d10m42s|G     |  9533|  60|    |2001ApJS..134..355M|   9532|  29|F |20112MRS.FLWO.0000H
03293456-0132279|CGCG 390-095                  |03h29m34.5s -01d32m28s|G     |  7710| 150|    |2004AJ....127.1336S|   7788|  23|F |20112MRS.FLWO.0000H
03335697+3904227|2MASX J03335697+3904227       |03h33m57.0s +39d04m23s|G     | 16584|  29|    |2002AJ....123.3018M|  16593|  47|F |20112MRS.FLWO.0000H
03374145+0457117|CGCG 417-002                  |03h37m41.4s +04d57m11s|G     |  9723|  57|    |1991RC3.9.C...0000d|   9661|  39|F |20112MRS.FLWO.0000H
03513399-8213103|FAIRALL 1274                  |03h51m34.1s -82d13m10s|G     | 18839| 190|    |2006MNRAS.366..267F|  18476|  40|C |20112MRS.CTIO.0000H
03540243-7741138|ESO 015- G 003                |03h54m02.5s -77d41m14s|G     | 14590| 171|    |2006MNRAS.366..267F|  14594|  46|C |20112MRS.CTIO.0000H
03542323+1522409|2MASX J03542323+1522409       |03h54m23.2s +15d22m41s|G     |  8433|  20|    |1995ApJ...449..527L|   8433|  15|F |20112MRS.FLWO.0000H
03563829+3450556|UGC 02901                     |03h56m38.3s +34d50m56s|G     |  8452|   5|    |1993AJ....105.1251W|   8464|  30|F |20112MRS.FLWO.0000H
04090024+1530510|2MASX J04090024+1530510       |04h09m00.3s +15d30m51s|G     | 13491|    |    |1996ApJS..106..341M|  13461|  44|F |20112MRS.FLWO.0000H
04090615+1530500|2MASX J04090615+1530500       |04h09m06.2s +15d30m50s|G     | 13401|    |    |1996ApJS..106..341M|  12865|  67|F |20112MRS.FLWO.0000H
04124920+1329451|2MASX J04124920+1329451       |04h12m49.2s +13d29m45s|G     |  1537|    |    |2000ApJS..130..177R|  10912|  65|F |20112MRS.FLWO.0000H
04150504-1313558|2MASX J04150504-1313558       |04h15m05.1s -13d13m56s|G     |  9080|  29|    |2003AJ....126.2152R|   9016|  32|C |20112MRS.CTIO.0000H
04173505+0132269|MCG +00-11-046                |04h17m35.0s +01d32m27s|G     |  4890|  20|    |1995ApJ...449..527L|   5021|  15|F |20112MRS.FLWO.0000H
04205063-0945509|MCG -02-12-002                |04h20m50.6s -09d45m51s|G     |  9194|  24|    |2003AJ....126.2152R|   9215|  35|F |20112MRS.FLWO.0000H
04210171-0944210|MCG -02-12-003                |04h21m01.7s -09d44m21s|G     |  9193|  31|    |2003AJ....126.2152R|   9203|  64|F |20112MRS.FLWO.0000H
04210522-0947110|MCG -02-12-004                |04h21m05.2s -09d47m11s|G     |  9101|  30|    |2003AJ....126.2152R|   9095|  25|F |20112MRS.FLWO.0000H
04253347-0903010|FGC 0484                      |04h25m33.5s -09d03m01s|G     | 12229|  29|    |2003AJ....126.2152R|  12226|  27|F |20112MRS.FLWO.0000H
04255133-0833389|VV 760 NED01                  |04h25m51.3s -08d33m39s|G     | 11459|  43|    |2004AJ....128.1078R|  11392|  94|C |20112MRS.CTIO.0000H
04255161-0822099|2MASX J04255161-0822099       |04h25m51.6s -08d22m10s|G     | 11989|  24|    |2003AJ....126.2152R|  12025|  30|F |20112MRS.FLWO.0000H
04284494+6934458|VII Zw 014 NED01              |04h28m44.9s +69d34m46s|G     | 10280|  60|    |1991RC3.9.C...0000d|   4775|  22|F |20112MRS.FLWO.0000H
04300421-0500358|IC 0372                       |04h30m04.2s -05d00m36s|G     |  4196|  10|    |2008ApJ...679..420S|   4171|  25|C |20112MRS.CTIO.0000H
04304279-0452129|IC 0373                       |04h30m42.8s -04d52m13s|G     |  4009|  10|    |2008ApJ...679..420S|   4014|  28|C |20112MRS.CTIO.0000H
04311349-1117247|NGC 1597                      |04h31m13.5s -11d17m25s|G     | 10010|  26|    |2003AJ....126.2152R|  10059|  36|C |20112MRS.CTIO.0000H
04321037-0508117|2MASX J04321037-0508117       |04h32m10.4s -05d08m12s|G     |  4739|  12|    |2008ApJ...679..420S|   4730|  24|F |20112MRS.FLWO.0000H
04323045-0509187|2MASX J04323045-0509187       |04h32m30.4s -05d09m19s|G     |  4630|   7|    |2008ApJ...679..420S|   4615|  22|F |20112MRS.FLWO.0000H
04340693-1356119|2MASX J04340693-1356119       |04h34m06.9s -13d56m12s|G     |  9720|  36|    |2004AJ....128.1078R|   9723|  24|F |20112MRS.FLWO.0000H
04380949-1113514|2MASX J04380949-1113514       |04h38m09.5s -11d13m52s|G     | 17343|  38|    |2003AJ....126.2152R|  17376|  44|F |20112MRS.FLWO.0000H
04385081-6930241|ESO 055- G 033                |04h38m50.8s -69d30m24s|G     |  5470|    |    |2001A&A...371..895D|   5440|  15|C |20112MRS.CTIO.0000H
04425988-6548517|NGC 1669                      |04h42m59.9s -65d48m52s|G     |  5580|    |    |2001A&A...371..895D|   5629|  20|C |20112MRS.CTIO.0000H
04530477-4528593|ESO 251- G 039                |04h53m04.8s -45d28m59s|G     | 13021| 100|    |1989ESOLV.C...0000L|  12608|  43|C |20112MRS.CTIO.0000H
04530901+1029523|2MFGC 04008                   |04h53m09.0s +10d29m52s|G     |  9140|  42|    |2003AJ....126.2152R|   9195|  43|F |20112MRS.FLWO.0000H
04541846-1855470|MCG -03-13-023                |04h54m18.4s -18d55m47s|G     | 11662|  60|    |1996A&AS..116..295S|  11378|  51|C |20112MRS.CTIO.0000H
04574548+1031479|2MASX J04574548+1031479       |04h57m45.5s +10d31m48s|G     |  8578|  28|    |2003AJ....126.2152R|   8746|  41|D |20112MRS.McDo.0000H
05030126+0821184|2MASX J05030126+0821184       |05h03m01.3s +08d21m19s|G     | 15279|  29|    |2003AJ....126.2152R|  15257|  32|F |20112MRS.FLWO.0000H
05042219+0620066|2MASX J05042219+0620066       |05h04m22.2s +06d20m07s|G     | 11013|  28|    |2004AJ....128.1078R|  10964|  25|F |20112MRS.FLWO.0000H
05050516+0801199|2MASX J05050516+0801199       |05h05m05.2s +08d01m20s|G     | 13800|  34|    |2003AJ....126.2152R|  13848|  58|D |20112MRS.McDo.0000H
05050628-7339041|ESO 033- G 011                |05h05m06.3s -73d39m04s|G     |  4442| 102|    |2006MNRAS.366..267F|   4507|  33|C |20112MRS.CTIO.0000H
05063500+0735385|2MASX J05063500+0735385       |05h06m35.0s +07d35m39s|G     | 13381|  30|    |2003AJ....126.2152R|  13249|  43|D |20112MRS.McDo.0000H
05063732+0434314|2MFGC 04175                   |05h06m37.3s +04d34m31s|G     | 10530|  57|    |2003AJ....126.2152R|  10704|  34|F |20112MRS.FLWO.0000H
05063849-7226570|FAIRALL 1289                  |05h06m38.5s -72d26m57s|G     | 13488| 137|    |2006MNRAS.366..267F|  13520|  35|C |20112MRS.CTIO.0000H
05073539+0521300|2MASX J05073539+0521300       |05h07m35.4s +05d21m30s|G     | 10526|  36|    |2004AJ....128.1078R|  10519|  24|F |20112MRS.FLWO.0000H
05073710-6822590|2MASX J05073710-6822590       |05h07m37.1s -68d22m59s|G     |  5782|    |    |2001A&A...371..895D|   5633|  18|C |20112MRS.CTIO.0000H
05080689+0510243|2MASX J05080689+0510243       |05h08m06.9s +05d10m24s|G     | 11024|  38|    |2003AJ....126.2152R|  10977|  48|F |20112MRS.FLWO.0000H
05081184+0509303|2MASX J05081184+0509303       |05h08m11.9s +05d09m30s|G     | 10880|  38|    |2003AJ....126.2152R|  10915|  31|F |20112MRS.FLWO.0000H
05110891+0735236|2MASX J05110891+0735236       |05h11m08.9s +07d35m24s|G     |  8465|  23|    |2004AJ....128.1078R|   8481|  21|F |20112MRS.FLWO.0000H
05120736+0600482|2MASX J05120736+0600482       |05h12m07.4s +06d00m48s|G     | 10862|  29|    |2003AJ....126.2152R|  10843|  39|F |20112MRS.FLWO.0000H
05123451+0704231|2MASX J05123451+0704231       |05h12m34.5s +07d04m23s|G     |  8646|  55|    |2004AJ....128.1078R|   8580|  25|F |20112MRS.FLWO.0000H
05132318+0936414|2MASX J05132318+0936414       |05h13m23.2s +09d36m41s|G     |  9022|  31|    |2003AJ....126.2152R|   9001|  23|F |20112MRS.FLWO.0000H
05133490+0725510|2MASX J05133490+0725510       |05h13m34.9s +07d25m51s|G     |  8671|  32|    |2003AJ....126.2152R|   8652|  23|F |20112MRS.FLWO.0000H
05153162+0601501|2MFGC 04289                   |05h15m31.6s +06d01m50s|G     |  8727|  24|    |2004AJ....128.1078R|   8710|  22|F |20112MRS.FLWO.0000H
05191497-7911204|ESO 016- G 003                |05h19m15.0s -79d11m20s|G     | 12549| 246|    |2006MNRAS.366..267F|  12541|  37|C |20112MRS.CTIO.0000H
05202284+0850133|2MASX J05202284+0850133       |05h20m22.8s +08d50m14s|G     |  4606|  41|    |2003AJ....126.2152R|   4422|  97|D |20112MRS.McDo.0000H
05212171-7356214|FAIRALL 1293                  |05h21m21.7s -73d56m22s|G     | 13638| 200|    |2006MNRAS.366..267F|  13774|  38|C |20112MRS.CTIO.0000H
05222996+0534162|2MASX J05222996+0534162       |05h22m29.9s +05d34m16s|G     | 10951|  39|    |2003AJ....126.2152R|  10798|  72|D |20112MRS.McDo.0000H
05233817+0534105|MCG +01-14-036                |05h23m38.2s +05d34m11s|G     | 10960|  27|    |2003AJ....126.2152R|  10896|  24|F |20112MRS.FLWO.0000H
05241341+0455374|2MASX J05241341+0455374       |05h24m13.4s +04d55m38s|G     |  5817|  20|    |2004AJ....128.1078R|   5810|  19|F |20112MRS.FLWO.0000H
05243137+0820050|2MASX J05243137+0820050       |05h24m31.4s +08d20m05s|G     | 20621|  48|    |2003AJ....126.2152R|  20551|  27|F |20112MRS.FLWO.0000H
05261027-1206236|2MASX J05261027-1206236       |05h26m10.3s -12d06m25s|G     | 14480|    |    |2007MNRAS.375..931M|  14446|  15|F |20112MRS.FLWO.0000H
05270309+0801489|2MASX J05270309+0801489       |05h27m03.1s +08d01m49s|G     |  5529|  21|    |2003AJ....126.2152R|   5498|  17|F |20112MRS.FLWO.0000H
05270646+0643439|2MASX J05270646+0643439       |05h27m06.5s +06d43m44s|G     | 10835|  48|    |2003AJ....126.2152R|  10816|  47|F |20112MRS.FLWO.0000H
05273565+0655526|2MASX J05273565+0655526       |05h27m35.7s +06d55m53s|G     |  9819|  42|    |2003AJ....126.2152R|   9778|  31|F |20112MRS.FLWO.0000H
05305267-8043004|AM 0535-804 NED02             |05h30m52.6s -80d43m01s|G     | 12814| 179|    |2006MNRAS.366..267F|  12673|  43|C |20112MRS.CTIO.0000H
05325317-0746324|VV 848                        |05h32m53.2s -07d46m33s|G     |  8464|  13|    |2005A&A...430..373T|   8371|  28|F |20112MRS.FLWO.0000H
05470956-0337350|2MASX J05470956-0337350       |05h47m09.6s -03d37m35s|G     |  6346|   7|    |2005A&A...430..373T|   6325|  24|F |20112MRS.FLWO.0000H
05473192-1034115|2MASX J05473192-1034115       |05h47m31.9s -10d34m11s|G     |  3276|   5|    |2005A&A...430..373T|   3112|  62|C |20112MRS.CTIO.0000H
05581173+5328180|2MASX J05581173+5328180       |05h58m11.8s +53d28m18s|G     | 10793|    |    |1998AJ....115.1253P|  10480|  28|F |20112MRS.FLWO.0000H
06183035-1832139|NGC 2211                      |06h18m30.4s -18d32m14s|G     |  2003|  20|    |2008AJ....135.2424O|   1982|  26|C |20112MRS.CTIO.0000H
06331910+5122572|UGC 03483                     |06h33m19.2s +51d22m58s|G     | 10193|    |    |1993IAUC.5912....1M|  10478|  21|F |20112MRS.FLWO.0000H
06340218+5851410|UGC 03484                     |06h34m02.2s +58d51m41s|G     |  7426|  16|    |2005A&A...435..459H|   7384|  22|F |20112MRS.FLWO.0000H
06403012-2712233|MCG -05-16-014                |06h40m30.1s -27d12m24s|G     |  7436|  70|    |1996ApJS..107..521V|   7176|  47|C |20112MRS.CTIO.0000H
06405169-3228561|NGC 2267                      |06h40m51.7s -32d28m56s|G     |  1545|  18|    |2008AJ....135.2424O|   1486|  24|C |20112MRS.CTIO.0000H
06410310-3802083|ESO 308- G 025                |06h41m03.1s -38d02m08s|G     | 10193|    |    |2008CBET.1329A...1S|  10195|  43|C |20112MRS.CTIO.0000H
06441088+3546450|2MASX J06441088+3546450       |06h44m10.9s +35d46m45s|G     | 23144|    |    |2007ApJ...664...64I|  23258|  76|F |20112MRS.FLWO.0000H
06441744-7416364|2MASX J06441744-7416364       |06h44m17.5s -74d16m36s|G     |  6430| 150|    |1982MNRAS.199..633F|   6153|  28|C |20112MRS.CTIO.0000H
06530193-2631303|ESO 491- G 006                |06h53m01.9s -26d31m30s|G     |  2432|  22|    |2008AJ....135.2424O|   2425|  27|C |20112MRS.CTIO.0000H
06584610+5946393|2MASX J06584610+5946393       |06h58m46.1s +59d46m39s|G     | 20716|    |    |2002AJ....124.1283S|  20750|  53|F |20112MRS.FLWO.0000H
07024523-2925421|ESO 427- G 029                |07h02m45.2s -29d25m42s|G     |  1834|  24|    |2003AJ....126.2268W|   1814|  24|C |20112MRS.CTIO.0000H
07053709-8650277|FAIRALL 1314                  |07h05m37.3s -86d50m28s|G     | 12576| 189|    |2006MNRAS.366..267F|  12696|  59|C |20112MRS.CTIO.0000H
07065096-3759154|ESO 309- G 019                |07h06m51.0s -37d59m15s|G     |  7615|   9|    |2003A&A...412...57P|   7481|  40|C |20112MRS.CTIO.0000H
07123570-2839139|ESO 428- G 004                |07h12m35.7s -28d39m14s|G     |   881|   6|    |2004AJ....128...16K|    884|  18|C |20112MRS.CTIO.0000H
07153127-2921324|ESO 428- G 011                |07h15m31.3s -29d21m33s|G     |  2115|  19|    |2003AJ....126.2268W|   2098|  29|C |20112MRS.CTIO.0000H
07163708+3642186|B2 0713+36                    |07h16m37.1s +36d42m19s|G     | 20985|    |    |1996ApJ...461..127M|  21065|  35|F |20112MRS.FLWO.0000H
07175757+0941218|UGC 03787                     |07h17m57.6s +09d41m22s|G     |  8613|  58|    |2008ApJ...685..752G|   8580|  36|F |20112MRS.FLWO.0000H
07193089+5921184|UGC 03789                     |07h19m30.9s +59d21m18s|G     |  3325|  24|    |1998A&AS..130..333T|   3257|  16|F |20112MRS.FLWO.0000H
07204121-0142140|CGCG 001-003                  |07h20m41.1s -01d42m12s|G     | 11110|    |    |1993PASJ...45...25Y|  11061|  28|F |20112MRS.FLWO.0000H
07241207+0617253|CGCG 029-024                  |07h24m12.1s +06d17m25s|G     |  9740|  50|    |1994A&AS..104..529T|   9750|  34|F |20112MRS.FLWO.0000H
07411509-0501005|2MASX J07411509-0501005       |07h41m15.1s -05d01m01s|G     | 11156|    |    |1993PASJ...45...25Y|  11252|  17|F |20112MRS.FLWO.0000H
07513733-3845050|ESO 311- G 016                |07h51m37.3s -38d45m05s|G     |  6163|  10|    |2006HIPAS.C...0000:|   6229|  23|C |20112MRS.CTIO.0000H
07554298+5634411|MCG +09-13-092                |07h55m43.0s +56d34m41s|G     |  8436| 306|    |2001A&A...373...24P|   8404|  21|F |20112MRS.FLWO.0000H
07555134+5642381|MCG +10-12-016                |07h55m51.4s +56d42m38s|G     | 13840| 135|    |2001A&A...373...24P|  13725|  29|F |20112MRS.FLWO.0000H
07561963-4137420|2MASX J07561963-4137420       |07h56m19.6s -41d37m42s|G     |  6296|   0|    |2007A&A...462...57S|   6305|  69|C |20112MRS.CTIO.0000H
07592733+0726343|UGC 04144                     |07h59m27.3s +07d26m34s|G     |  9795|    |    |2004ApJ...615L.109O|   9877|  16|F |20112MRS.FLWO.0000H
08063868+6702537|UGC 04206                     |08h06m38.7s +67d02m54s|G     |  4941|   8|    |2005A&A...435..459H|   4973|  32|F |20112MRS.FLWO.0000H
08070047+0212046|2MASX J08070047+0212046       |08h07m00.5s +02d12m05s|G     | 15619|    |PHOT|2009ApJ...692..511W|  19472|  39|F |20112MRS.FLWO.0000H
08080461-1452387|FGC 0717                      |08h08m04.6s -14d52m39s|G     |  6679|   8|    |2005A&A...435..459H|   6581|  41|F |20112MRS.FLWO.0000H
08091268-6139371|ESO 124- G 014                |08h09m12.7s -61d39m37s|G     |  3045|  20|    |2008AJ....135.2424O|   2966|  23|C |20112MRS.CTIO.0000H
08092376+5745474|UGC 04241                     |08h09m23.8s +57d45m47s|G     |  1235|   7|    |1999PASP..111..438F|   7633|  23|F |20112MRS.FLWO.0000H
08103485-2242340|ESO 494- G 031                |08h10m34.8s -22d42m34s|G     |  5390|  20|    |2003AJ....126.2268W|   5401|  27|F |20112MRS.FLWO.0000H
08140802+6436403|2MFGC 06520                   |08h14m08.1s +64d36m40s|G     |  8805|    |    |1987AJ.....94..854V|   8673|  23|F |20112MRS.FLWO.0000H
08180960+5805327|SBS 0813+582B                 |08h18m09.6s +58d05m33s|G     |  7495|    |    |1985Ap.....20..478S|   8128|  23|F |20112MRS.FLWO.0000H
08183077+5636327|MCG +09-14-024                |08h18m30.7s +56d36m32s|G     | 17268|    |PHOT|2009ApJ...692..511W|  12931|  28|F |20112MRS.FLWO.0000H
08192513+5505501|CGCG 263-022                  |08h19m25.1s +55d05m50s|G     |  9527|  48|    |1999PASP..111..438F|   9627|  29|F |20112MRS.FLWO.0000H
08233643-1502097|MCG -02-22-008                |08h23m36.4s -15d02m10s|G     |  4602|  33|    |2008AJ....135.2424O|   4605|  34|C |20112MRS.CTIO.0000H
08234612-0510312|2MASX J08234612-0510312       |08h23m46.1s -05d10m31s|G     | 16908|    |    |2007MNRAS.375..931M|  16143|  46|F |20112MRS.FLWO.0000H
08250696-5517219|ESO 164- G 009                |08h25m07.0s -55d17m22s|G     |  4174|   7|    |2006HIPAS.C...0000:|   4240|  66|C |20112MRS.CTIO.0000H
08543250-3256149|ESO 371- G 026                |08h54m32.5s -32d56m15s|G     |  2198|  20|    |2003AJ....126.2268W|   2156|  13|C |20112MRS.CTIO.0000H
09040728-7202599|ESO 060- G 027                |09h04m07.3s -72d03m00s|G     | 11803| 150|    |2006MNRAS.366..267F|  11453|  33|C |20112MRS.CTIO.0000H
09230733+2241320|FGC 0883                      |09h23m07.3s +22d41m32s|G     |  9436|  40|    |2004ApJ...607..202M|   9422|  51|F |20112MRS.FLWO.0000H
09232401-6348453|NGC 2887                      |09h23m24.0s -63d48m45s|G     |  2907|  27|    |1991RC3.9.C...0000d|   2881|  25|C |20112MRS.CTIO.0000H
09242948-3745096|ESO 315- G 006                |09h24m29.5s -37d45m10s|G     |  4875|   9|    |2006HIPAS.C...0000:|   4866|  34|C |20112MRS.CTIO.0000H
