# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "M": NED entries with multiple cz measurements. Default NED redshift in poor agreement with other published measurements or has an uncertainty larger than other published measurements. Alternative NED redshift used. Alternatively, the NED query returned a match to a published value that has been superceded ; a newer measurement is already in NED but shows up as a separate source.  Contents presented in Table A5 in paper.
#
#2MASS_ID        NED_ID                         RA          DEC        TYPE   NED_CZ  ERR QUAL NED_BIBCODE         NED_ALT_ENTRY                  RA           DEC       TYPE   NED_CZ  ERR| SEP|NED_BIBCODE         COMMENTS
00570857-2155112|MCG -04-03-035                |00h57m08.6s -21d55m12s|G     | 19307|    |    |1992NED11.R......1N|MCG -04-03-035                |00h57m08.6s -21d55m12s|G     | 15660| 100| 0.0|1978AJ.....83.1549K|only NED redshift with bibcode
13495692+7109522|IC 0954                       |13h49m56.9s +71d09m52s|G     |  9000|  43|    |1991RC3.9.C...0000d|IC 0954                       |13h49m56.9s +71d09m52s|G     | 10276|  27| 0.0|1983ApJS...52...89H|from Z-machine (T01644), NED RC3 value from 1974...
14245369+1702165|IC 4417                       |14h24m53.7s +17d02m17s|G     | 14775|    |    |1992CORV..C...0000F|IC 4417                       |14h24m53.7s +17d02m17s|G     | 16033|  64| 0.0|1999PASP..111..438F|prefer UZC over older measurement
15375345+5923304|NGC 5981                      |15h37m52.7s +59d23m38s|G     |  1764|  46|    |1991RC3.9.C...0000d|NGC 5981                      |15h37m52.7s +59d23m38s|G     |  2527|   9| 0.0|2005ApJS..160..149S|agrees with UZC value already listed in NED
16205942+5558137|NGC 6136                      |16h20m59.4s +55d58m14s|G     |  9384|    |    |1997AJ....113.1527C|NGC 6136                      |16h20m59.4s +55d58m14s|G     |  8860|  63| 0.0|2000UZC...C......0F|NED cz identical for N6136 & SBS 1619+560 ; typo in former?
17202960+5022376|CGCG 252-044                  |17h20m29.6s +50d22m38s|G     |  5696|    |    |2000MNRAS.317..801W|CGCG 252-044                  |17h20m29.6s +50d22m38s|G     |  7360|  68| 0.0|2000UZC...C......0F|agrees with 2005ApJS..158..139K
17500071+6131542|NGC 6491                      |17h50m00.7s +61d31m54s|G     |  5373|  17|    |1991RC3.9.C...0000d|NGC 6491                      |17h50m00.7s +61d31m54s|G     |  6212|  53| 0.0|1999PASP..111..438F|prefer modern optical cz over older RC3 value
18051398+4652535|NGC 6560                      |18h05m14.0s +46d52m54s|G     |  7036|  16|    |1995NSSDC7185.0000S|NGC 6560                      |18h05m14.0s +46d52m54s|G     |  7042|   3| 0.0|2005ApJS..160..149S|new HI cz
19185075-6726248|ESO 072- G 013                |19h18m50.7s -67d26m25s|G     | 13491|    |    |1992NED11.R......1N|ESO 072- G 013                |19h18m50.7s -67d26m25s|G     | 13498|  26| 0.0|1985LCS.......0000D|in RC3, use proper bibcode
19521890+5858393|UGC 11491                     |19h52m18.9s +58d58m40s|G     |  7495|    |    |2003IAUC.8246B...1F|UGC 11491                     |19h52m18.9s +58d58m40s|G     | 10013|   0| 0.0|2003IAUC.8246B...1F|typo in NED (already fixed, communicated on March 30th)
20183808-0009017|UGC 11537                     |20h18m38.1s -00d09m02s|G     |  4751|   9|    |1991RC3.9.C...0000d|UGC 11537                     |20h18m38.1s -00d09m02s|G     |  5416|   2| 0.0|1998A&AS..130..333T|agrees with 1996ApJS..107...97M & 2005ApJS..160..149S
20242460-4021587|ESO 340- G 025                |20h24m24.6s -40d21m59s|G     | 12112|    |    |1992NED11.R......1N|ESO 340- G 025                |20h24m24.6s -40d21m59s|G     | 12108|  33| 0.0|1991ApJS...75..935D|in RC3, use proper bibcode
20515691-5237473|ESO 187- G 026                |20h51m56.9s -52d37m47s|G     | 16685|  40|    |1995AJ....110.1032M|ESO 187- G 026                |20h51m56.9s -52d37m47s|G     | 14143|  43| 0.0|2004AJ....128.1558S|multiple other cz in NED agree
21541829-5836062|ESO 145- G 026                |21h54m18.3s -58d36m06s|G     | 14690|    |    |1992NED11.R......1N|ESO 145- G 026                |21h54m18.3s -58d36m06s|G     | 14676|  27| 0.0|1985LCS.......0000D|in RC3, use proper bibcode
23195444+0823579|NGC 7615                      |23h19m54.4s +08d23m58s|G     |  4473|  10|    |1991RC3.9.C...0000d|NGC 7615                      |23h19m54.4s +08d23m58s|G     |  3071|  32| 0.0|1999ApJS..121..287H|agrees with UZC
23452327-4455151|ESO 292- G 018                |23h45m23.3s -44d55m15s|G     | 14900|    |    |1992NED11.R......1N|ESO 292- G 018                |23h45m23.3s -44d55m15s|G     | 14893|  30| 0.0|1991RC3.9.C...0000d|in RC3, use proper bibcode
